
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9141
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0433
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6205
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4161
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7344
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9966
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5653
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8516
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1816
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3145
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9975
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9912
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1096
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8169
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0425
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6075
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0705
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6877
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0132
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5344
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5716
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9737
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7110
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9102
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0831
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0993
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7364
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6694
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5348
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8459
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0461
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0109
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7178
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1291
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8726
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1796
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0842
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7124
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8239
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0711
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7933
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4535
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3452
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9389
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7765
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2870
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6720
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0749
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1480
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7057
  [Edge 0] G1 | E1 | loss=1.7697
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0347
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1981
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2545
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8919
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9593
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0414
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3381
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0847
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0766
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1864
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0678
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9285
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3189
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0208
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.3165
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1055
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1986
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1932
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3475
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3335
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0619
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1444
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.3305
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1149
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0499
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.3047
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0483
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1019
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9435
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1274
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1621
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2612
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2044
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2621
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2994
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0407
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5758
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9533
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1618
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9620
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2317
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0948
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2561
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1401
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1083
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2492
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0680
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2811
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1682
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2429
  [Edge 0] G1 | E2 | loss=1.0969
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 50/50
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2042
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0727
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2149
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2138
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1689
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1249
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0298
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9296
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2612
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0886
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2551
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8038
