
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6733
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7666
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7090
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6610
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7439
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0404
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3245
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6554
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5697
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5046
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0661
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8575
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0748
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9268
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0808
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1390
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9567
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6528
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7362
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9509
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2359
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0456
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5889
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8054
