
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8956
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8191
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6779
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9615
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6385
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0462
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0039
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9155
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4417
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9702
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0995
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9300
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3330
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7696
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1307
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5711
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2148
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7743
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7992
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6987
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4493
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5276
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5876
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4671
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0171
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3010
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9468
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4779
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5947
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1253
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1167
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2369
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0962
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0871
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1018
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8714
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2376
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2633
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6844
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8052
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9067
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6836
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7303
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8687
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7408
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1822
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0371
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9147
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4178
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1127
  [Edge 0] G1 | E1 | loss=1.7656
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8514
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3369
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3401
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9266
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1485
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0668
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4577
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3555
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9882
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2477
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9240
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0052
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1718
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1982
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2945
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0484
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1763
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1911
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3242
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2296
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3512
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3733
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2975
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0583
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0755
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2740
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0660
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2310
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8087
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9653
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1408
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1480
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3165
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3530
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2478
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9926
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2806
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9191
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3266
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9977
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1909
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3646
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3289
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1201
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8988
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2555
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1048
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2264
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1911
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1671
  [Edge 0] G1 | E2 | loss=1.1071
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 50/50
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1355
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1435
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8505
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1618
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0518
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1007
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2208
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9499
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2483
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1548
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2535
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7030
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2395
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1234
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0582
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6658
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9658
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8286
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2842
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1798
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2266
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0897
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8060
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1601
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3364
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3045
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8910
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1464
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1170
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8067
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5008
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7221
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1043
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9983
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0369
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1923
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2356
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8080
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2106
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8247
