
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 50/50
  [Client 44] Round 1 | FedAvg | loss=2.8712
  [Client 47] Round 1 | FedAvg | loss=2.7385
  [Client 49] Round 1 | FedAvg | loss=2.2555
  [Client 64] Round 1 | FedAvg | loss=2.1804
  [Client 73] Round 1 | FedAvg | loss=2.8219
  [Client  3] Round 1 | FedAvg | loss=2.1619
  [Client 41] Round 1 | FedAvg | loss=2.9988
  [Client 25] Round 1 | FedAvg | loss=1.9269
  [Client 75] Round 1 | FedAvg | loss=2.4901
  [Client 72] Round 1 | FedAvg | loss=3.8418
  [Client 76] Round 1 | FedAvg | loss=2.5599
  [Client  9] Round 1 | FedAvg | loss=2.1039
  [Client 12] Round 1 | FedAvg | loss=1.9103
  [Client 56] Round 1 | FedAvg | loss=3.1825
  [Client 79] Round 1 | FedAvg | loss=0.0905
  [Client 84] Round 1 | FedAvg | loss=2.5166
  [Client 58] Round 1 | FedAvg | loss=2.3112
  [Client 14] Round 1 | FedAvg | loss=2.3047
  [Client 55] Round 1 | FedAvg | loss=2.7353
  [Client 33] Round 1 | FedAvg | loss=2.4067
  [Client 70] Round 1 | FedAvg | loss=2.2792
  [Client 10] Round 1 | FedAvg | loss=3.1215
  [Client 16] Round 1 | FedAvg | loss=2.1683
  [Client 63] Round 1 | FedAvg | loss=3.2159
  [Client 50] Round 1 | FedAvg | loss=2.7768
  [Client 32] Round 1 | FedAvg | loss=2.4221
  [Client 38] Round 1 | FedAvg | loss=2.2407
  [Client 13] Round 1 | FedAvg | loss=2.2230
  [Client 36] Round 1 | FedAvg | loss=3.1838
  [Client 71] Round 1 | FedAvg | loss=2.4793
  [Client 45] Round 1 | FedAvg | loss=0.0791
  [Client 98] Round 1 | FedAvg | loss=2.2016
  [Client 22] Round 1 | FedAvg | loss=2.8147
  [Client 88] Round 1 | FedAvg | loss=0.0537
  [Client 28] Round 1 | FedAvg | loss=2.7195
  [Client 27] Round 1 | FedAvg | loss=2.2157
  [Client 99] Round 1 | FedAvg | loss=2.1795
  [Client 42] Round 1 | FedAvg | loss=2.7793
  [Client 43] Round 1 | FedAvg | loss=2.1862
  [Client 83] Round 1 | FedAvg | loss=2.1537
  [Client  1] Round 1 | FedAvg | loss=1.7785
  [Client 62] Round 1 | FedAvg | loss=1.8606
  [Client 39] Round 1 | FedAvg | loss=1.5668
  [Client  0] Round 1 | FedAvg | loss=2.1369
  [Client 93] Round 1 | FedAvg | loss=2.5813
  [Client 54] Round 1 | FedAvg | loss=2.5745
  [Client 30] Round 1 | FedAvg | loss=2.8024
  [Client 34] Round 1 | FedAvg | loss=3.0951
  [Client 66] Round 1 | FedAvg | loss=2.6903
  [Client 80] Round 1 | FedAvg | loss=1.8364
  [Edge 0] G1 | E1 | loss=2.3365
  [Edge 0] G1 | E2 | Selected 50/50
  [Client 39] Round 1 | FedAvg | loss=1.3609
  [Client 56] Round 1 | FedAvg | loss=1.2865
  [Client 84] Round 1 | FedAvg | loss=1.1793
  [Client 64] Round 1 | FedAvg | loss=1.1802
  [Client 13] Round 1 | FedAvg | loss=1.3188
  [Client 98] Round 1 | FedAvg | loss=1.3783
  [Client 32] Round 1 | FedAvg | loss=1.4315
  [Client 25] Round 1 | FedAvg | loss=1.0540
  [Client 41] Round 1 | FedAvg | loss=1.3543
  [Client 10] Round 1 | FedAvg | loss=1.3203
  [Client 80] Round 1 | FedAvg | loss=1.0178
  [Client 55] Round 1 | FedAvg | loss=1.3412
  [Client 28] Round 1 | FedAvg | loss=1.5027
  [Client 62] Round 1 | FedAvg | loss=1.2041
  [Client 45] Round 1 | FedAvg | loss=0.3611
  [Client 22] Round 1 | FedAvg | loss=1.2984
  [Client 43] Round 1 | FedAvg | loss=1.3066
  [Client 54] Round 1 | FedAvg | loss=1.2863
  [Client  0] Round 1 | FedAvg | loss=1.4708
  [Client 49] Round 1 | FedAvg | loss=1.3471
  [Client 72] Round 1 | FedAvg | loss=1.3362
  [Client 50] Round 1 | FedAvg | loss=1.3364
  [Client 79] Round 1 | FedAvg | loss=0.4196
  [Client  3] Round 1 | FedAvg | loss=1.5086
  [Client 75] Round 1 | FedAvg | loss=1.3430
  [Client 88] Round 1 | FedAvg | loss=0.5042
  [Client  1] Round 1 | FedAvg | loss=1.3279
  [Client 71] Round 1 | FedAvg | loss=1.2460
  [Client 83] Round 1 | FedAvg | loss=1.1291
  [Client 66] Round 1 | FedAvg | loss=1.4513
  [Client 38] Round 1 | FedAvg | loss=1.5057
  [Client 34] Round 1 | FedAvg | loss=1.1927
  [Client 30] Round 1 | FedAvg | loss=1.4632
  [Client 44] Round 1 | FedAvg | loss=1.2349
  [Client 93] Round 1 | FedAvg | loss=1.3180
  [Client  9] Round 1 | FedAvg | loss=1.5591
  [Client 63] Round 1 | FedAvg | loss=1.4251
  [Client 27] Round 1 | FedAvg | loss=1.1274
  [Client 70] Round 1 | FedAvg | loss=1.3143
  [Client 36] Round 1 | FedAvg | loss=1.3122
  [Client 47] Round 1 | FedAvg | loss=1.1711
  [Client 99] Round 1 | FedAvg | loss=1.3033
  [Client 14] Round 1 | FedAvg | loss=1.5563
  [Client 42] Round 1 | FedAvg | loss=1.4027
  [Client 73] Round 1 | FedAvg | loss=1.1541
  [Client 16] Round 1 | FedAvg | loss=1.1961
  [Client 12] Round 1 | FedAvg | loss=1.1936
  [Client 33] Round 1 | FedAvg | loss=1.6246
  [Client 76] Round 1 | FedAvg | loss=1.2284
  [Client 58] Round 1 | FedAvg | loss=1.4663
  [Edge 0] G1 | E2 | loss=1.2670
  [Edge 0] G1 | E3 | Selected 50/50
  [Client 70] Round 1 | FedAvg | loss=1.3682
  [Client 99] Round 1 | FedAvg | loss=1.2278
  [Client 98] Round 1 | FedAvg | loss=1.2705
  [Client 63] Round 1 | FedAvg | loss=1.3733
  [Client 32] Round 1 | FedAvg | loss=1.3578
  [Client 10] Round 1 | FedAvg | loss=1.4014
  [Client 49] Round 1 | FedAvg | loss=1.3821
  [Client 72] Round 1 | FedAvg | loss=1.1269
  [Client 79] Round 1 | FedAvg | loss=0.3716
  [Client 14] Round 1 | FedAvg | loss=1.3785
  [Client 45] Round 1 | FedAvg | loss=0.3568
  [Client 36] Round 1 | FedAvg | loss=1.0051
  [Client 12] Round 1 | FedAvg | loss=1.1307
  [Client 76] Round 1 | FedAvg | loss=1.3437
  [Client 44] Round 1 | FedAvg | loss=1.1647
  [Client 25] Round 1 | FedAvg | loss=1.1140
  [Client 27] Round 1 | FedAvg | loss=1.0315
  [Client 41] Round 1 | FedAvg | loss=1.1661
  [Client 54] Round 1 | FedAvg | loss=1.1823
  [Client 22] Round 1 | FedAvg | loss=1.2014
  [Client 58] Round 1 | FedAvg | loss=1.1766
  [Client 75] Round 1 | FedAvg | loss=1.1542
  [Client 83] Round 1 | FedAvg | loss=1.4178
  [Client 43] Round 1 | FedAvg | loss=1.2416
  [Client 28] Round 1 | FedAvg | loss=1.2252
  [Client 33] Round 1 | FedAvg | loss=1.2915
  [Client 66] Round 1 | FedAvg | loss=1.1256
  [Client 38] Round 1 | FedAvg | loss=1.1224
  [Client 13] Round 1 | FedAvg | loss=1.2265
  [Client 62] Round 1 | FedAvg | loss=1.1619
  [Client 47] Round 1 | FedAvg | loss=1.3693
  [Client 42] Round 1 | FedAvg | loss=1.1529
  [Client 55] Round 1 | FedAvg | loss=1.2586
  [Client  9] Round 1 | FedAvg | loss=1.1402
  [Client 34] Round 1 | FedAvg | loss=1.2653
  [Client 30] Round 1 | FedAvg | loss=1.2790
  [Client 93] Round 1 | FedAvg | loss=1.2639
  [Client  1] Round 1 | FedAvg | loss=1.0129
  [Client 71] Round 1 | FedAvg | loss=1.3279
  [Client 73] Round 1 | FedAvg | loss=1.1671
  [Client 64] Round 1 | FedAvg | loss=1.1440
  [Client 50] Round 1 | FedAvg | loss=1.1700
  [Client 56] Round 1 | FedAvg | loss=1.2213
  [Client 84] Round 1 | FedAvg | loss=1.4854
  [Client 39] Round 1 | FedAvg | loss=1.3449
  [Client 16] Round 1 | FedAvg | loss=1.2791
  [Client 88] Round 1 | FedAvg | loss=0.4761
  [Client  3] Round 1 | FedAvg | loss=1.2585
  [Client 80] Round 1 | FedAvg | loss=1.1301
  [Client  0] Round 1 | FedAvg | loss=1.2103
  [Edge 0] G1 | E3 | loss=1.1811
  [Edge 0] G1 | E4 | Selected 50/50
  [Client 75] Round 1 | FedAvg | loss=1.2445
  [Client 28] Round 1 | FedAvg | loss=1.2758
  [Client 44] Round 1 | FedAvg | loss=1.3463
  [Client  0] Round 1 | FedAvg | loss=1.2807
  [Client  1] Round 1 | FedAvg | loss=1.0473
  [Client 43] Round 1 | FedAvg | loss=1.2103
  [Client 76] Round 1 | FedAvg | loss=1.2921
  [Client 27] Round 1 | FedAvg | loss=1.0261
  [Client 71] Round 1 | FedAvg | loss=1.2834
  [Client 12] Round 1 | FedAvg | loss=1.0749
  [Client 62] Round 1 | FedAvg | loss=1.1399
  [Client 64] Round 1 | FedAvg | loss=1.1388
  [Client 70] Round 1 | FedAvg | loss=1.1695
  [Client 14] Round 1 | FedAvg | loss=1.1644
  [Client 72] Round 1 | FedAvg | loss=1.0020
  [Client 98] Round 1 | FedAvg | loss=1.1218
  [Client 99] Round 1 | FedAvg | loss=1.4525
  [Client 54] Round 1 | FedAvg | loss=1.3581
  [Client 47] Round 1 | FedAvg | loss=1.2128
  [Client  3] Round 1 | FedAvg | loss=1.3379
  [Client 88] Round 1 | FedAvg | loss=0.3760
  [Client 83] Round 1 | FedAvg | loss=0.9984
