
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 85/85
  [Client 37] Round 1 | FedAvg | loss=2.4908
  [Client 96] Round 1 | FedAvg | loss=0.0699
  [Client 55] Round 1 | FedAvg | loss=3.3723
  [Client 80] Round 1 | FedAvg | loss=2.9653
  [Client 48] Round 1 | FedAvg | loss=1.5177
  [Client 65] Round 1 | FedAvg | loss=2.4615
  [Client 56] Round 1 | FedAvg | loss=1.8059
  [Client 45] Round 1 | FedAvg | loss=0.0400
  [Client 32] Round 1 | FedAvg | loss=2.6740
  [Client 29] Round 1 | FedAvg | loss=2.6977
  [Client 15] Round 1 | FedAvg | loss=2.0287
  [Client 85] Round 1 | FedAvg | loss=1.5459
  [Client 35] Round 1 | FedAvg | loss=2.2693
  [Client 13] Round 1 | FedAvg | loss=5.0455
  [Client 51] Round 1 | FedAvg | loss=2.7748
  [Client 93] Round 1 | FedAvg | loss=2.0402
  [Client 43] Round 1 | FedAvg | loss=2.3186
  [Client 89] Round 1 | FedAvg | loss=2.0946
  [Client  1] Round 1 | FedAvg | loss=2.3336
  [Client 26] Round 1 | FedAvg | loss=1.6700
  [Client 78] Round 1 | FedAvg | loss=0.1556
  [Client 31] Round 1 | FedAvg | loss=2.3536
  [Client 11] Round 1 | FedAvg | loss=2.2238
  [Client 84] Round 1 | FedAvg | loss=1.9216
  [Client 46] Round 1 | FedAvg | loss=2.3976
  [Client 75] Round 1 | FedAvg | loss=2.1708
  [Client  2] Round 1 | FedAvg | loss=1.6364
  [Client 64] Round 1 | FedAvg | loss=2.2861
  [Client 41] Round 1 | FedAvg | loss=2.5520
  [Client 98] Round 1 | FedAvg | loss=1.8721
  [Client 77] Round 1 | FedAvg | loss=0.1010
  [Client 61] Round 1 | FedAvg | loss=2.0377
  [Client 39] Round 1 | FedAvg | loss=1.9232
  [Client 54] Round 1 | FedAvg | loss=2.8812
  [Client 60] Round 1 | FedAvg | loss=2.0009
  [Client  4] Round 1 | FedAvg | loss=2.8738
  [Client 69] Round 1 | FedAvg | loss=2.2521
  [Client 66] Round 1 | FedAvg | loss=2.5306
  [Client 16] Round 1 | FedAvg | loss=2.1158
  [Client 73] Round 1 | FedAvg | loss=1.9940
  [Client 57] Round 1 | FedAvg | loss=1.6014
  [Client 87] Round 1 | FedAvg | loss=3.1761
  [Client 74] Round 1 | FedAvg | loss=2.3639
  [Client 24] Round 1 | FedAvg | loss=2.3624
  [Client 30] Round 1 | FedAvg | loss=2.2459
  [Client 67] Round 1 | FedAvg | loss=1.7932
  [Client 91] Round 1 | FedAvg | loss=2.2793
  [Client 34] Round 1 | FedAvg | loss=2.2682
  [Client 19] Round 1 | FedAvg | loss=2.1338
  [Client  9] Round 1 | FedAvg | loss=2.1236
  [Client 86] Round 1 | FedAvg | loss=2.3220
  [Client 52] Round 1 | FedAvg | loss=2.2140
  [Client 18] Round 1 | FedAvg | loss=2.0813
  [Client 47] Round 1 | FedAvg | loss=2.7510
  [Client 49] Round 1 | FedAvg | loss=2.0314
  [Client 10] Round 1 | FedAvg | loss=2.5810
  [Client 68] Round 1 | FedAvg | loss=3.4807
  [Client 36] Round 1 | FedAvg | loss=2.9235
  [Client 28] Round 1 | FedAvg | loss=2.3050
  [Client 83] Round 1 | FedAvg | loss=2.0252
  [Client 50] Round 1 | FedAvg | loss=2.1458
  [Client  6] Round 1 | FedAvg | loss=1.8536
  [Client 17] Round 1 | FedAvg | loss=2.7185
  [Client 97] Round 1 | FedAvg | loss=2.7069
  [Client 53] Round 1 | FedAvg | loss=4.0950
  [Client 20] Round 1 | FedAvg | loss=3.0673
  [Client 72] Round 1 | FedAvg | loss=2.0716
  [Client 79] Round 1 | FedAvg | loss=0.0431
  [Client  7] Round 1 | FedAvg | loss=2.0550
  [Client 70] Round 1 | FedAvg | loss=2.3680
  [Client 92] Round 1 | FedAvg | loss=2.4019
  [Client 25] Round 1 | FedAvg | loss=1.6975
  [Client 88] Round 1 | FedAvg | loss=0.1468
  [Client  3] Round 1 | FedAvg | loss=2.4949
  [Client 44] Round 1 | FedAvg | loss=2.6602
  [Client 42] Round 1 | FedAvg | loss=1.7941
  [Client 62] Round 1 | FedAvg | loss=1.9125
  [Client  5] Round 1 | FedAvg | loss=3.4245
  [Client 90] Round 1 | FedAvg | loss=1.1636
  [Client  8] Round 1 | FedAvg | loss=3.3355
  [Client 82] Round 1 | FedAvg | loss=2.1125
  [Client 21] Round 1 | FedAvg | loss=0.1130
  [Client 12] Round 1 | FedAvg | loss=2.1340
  [Client 27] Round 1 | FedAvg | loss=1.3916
  [Client 94] Round 1 | FedAvg | loss=2.4809
  [Edge 0] G1 | E1 | loss=2.1641
  [Edge 0] G1 | E2 | Selected 85/85
  [Client 80] Round 1 | FedAvg | loss=1.2231
  [Client 82] Round 1 | FedAvg | loss=1.2586
  [Client 89] Round 1 | FedAvg | loss=1.6369
  [Client  7] Round 1 | FedAvg | loss=1.1406
  [Client 43] Round 1 | FedAvg | loss=1.4243
  [Client 24] Round 1 | FedAvg | loss=1.1784
  [Client 67] Round 1 | FedAvg | loss=1.3184
  [Client 28] Round 1 | FedAvg | loss=1.3445
  [Client 10] Round 1 | FedAvg | loss=1.6211
  [Client 60] Round 1 | FedAvg | loss=1.0909
  [Client 30] Round 1 | FedAvg | loss=1.5080
  [Client  3] Round 1 | FedAvg | loss=1.2461
  [Client 88] Round 1 | FedAvg | loss=0.3511
  [Client 65] Round 1 | FedAvg | loss=1.3567
  [Client 31] Round 1 | FedAvg | loss=1.3973
  [Client 77] Round 1 | FedAvg | loss=0.3109
  [Client 48] Round 1 | FedAvg | loss=1.1841
  [Client  4] Round 1 | FedAvg | loss=1.2915
  [Client 83] Round 1 | FedAvg | loss=1.1255
  [Client 61] Round 1 | FedAvg | loss=1.3695
  [Client 53] Round 1 | FedAvg | loss=1.1418
  [Client 49] Round 1 | FedAvg | loss=1.3289
  [Client 57] Round 1 | FedAvg | loss=1.2426
  [Client 74] Round 1 | FedAvg | loss=1.2521
  [Client 68] Round 1 | FedAvg | loss=1.5103
  [Client 29] Round 1 | FedAvg | loss=1.7111
  [Client 56] Round 1 | FedAvg | loss=1.2015
  [Client 35] Round 1 | FedAvg | loss=1.4299
  [Client 46] Round 1 | FedAvg | loss=1.2613
  [Client 73] Round 1 | FedAvg | loss=1.3732
  [Client 51] Round 1 | FedAvg | loss=1.5137
  [Client 64] Round 1 | FedAvg | loss=1.2394
  [Client  6] Round 1 | FedAvg | loss=1.3529
  [Client 91] Round 1 | FedAvg | loss=1.3044
  [Client 36] Round 1 | FedAvg | loss=1.1557
  [Client 41] Round 1 | FedAvg | loss=1.3881
  [Client 11] Round 1 | FedAvg | loss=1.1689
  [Client 96] Round 1 | FedAvg | loss=0.4286
  [Client 72] Round 1 | FedAvg | loss=1.2006
  [Client 39] Round 1 | FedAvg | loss=1.2510
  [Client 47] Round 1 | FedAvg | loss=1.2418
  [Client 32] Round 1 | FedAvg | loss=1.1237
  [Client 21] Round 1 | FedAvg | loss=0.3850
  [Client 44] Round 1 | FedAvg | loss=1.0997
  [Client 52] Round 1 | FedAvg | loss=1.5041
  [Client 55] Round 1 | FedAvg | loss=1.1874
  [Client 85] Round 1 | FedAvg | loss=1.1244
  [Client 69] Round 1 | FedAvg | loss=1.3166
  [Client  8] Round 1 | FedAvg | loss=1.4100
  [Client 27] Round 1 | FedAvg | loss=1.3961
  [Client 97] Round 1 | FedAvg | loss=1.0747
  [Client 54] Round 1 | FedAvg | loss=1.2914
  [Client 37] Round 1 | FedAvg | loss=1.1843
  [Client  5] Round 1 | FedAvg | loss=1.1146
  [Client 93] Round 1 | FedAvg | loss=1.3851
  [Client 92] Round 1 | FedAvg | loss=1.3845
  [Client 70] Round 1 | FedAvg | loss=1.3809
  [Client 16] Round 1 | FedAvg | loss=1.3205
  [Client 34] Round 1 | FedAvg | loss=1.2074
  [Client 20] Round 1 | FedAvg | loss=1.4284
  [Client 45] Round 1 | FedAvg | loss=0.4480
  [Client 19] Round 1 | FedAvg | loss=1.2725
  [Client 25] Round 1 | FedAvg | loss=0.9690
  [Client 66] Round 1 | FedAvg | loss=1.1189
  [Client 78] Round 1 | FedAvg | loss=0.3487
  [Client 90] Round 1 | FedAvg | loss=1.4835
  [Client 12] Round 1 | FedAvg | loss=1.3016
  [Client  1] Round 1 | FedAvg | loss=1.0774
  [Client 26] Round 1 | FedAvg | loss=1.5980
  [Client 86] Round 1 | FedAvg | loss=1.2070
  [Client  2] Round 1 | FedAvg | loss=1.4360
  [Client 62] Round 1 | FedAvg | loss=1.3351
  [Client 75] Round 1 | FedAvg | loss=1.3704
  [Client 18] Round 1 | FedAvg | loss=1.6812
