
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3154
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1061
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2919
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3404
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8554
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2750
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9175
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1234
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5246
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0779
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6350
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3179
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0480
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0309
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5803
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6879
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8397
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0454
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1008
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3520
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0725
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7397
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8007
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8823
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9791
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6652
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1108
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4162
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1266
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0030
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1092
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5358
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8692
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0623
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1993
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6965
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8068
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2803
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0414
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6490
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5535
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6655
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5172
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3924
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8490
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4987
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5019
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2693
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9569
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6813
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7660
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7269
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4787
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6517
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0836
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4655
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1296
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8429
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4952
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8768
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4878
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7852
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9558
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4829
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4362
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6920
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0380
