
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 85/85
  [Client 37] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1948.4887
  [Client 96] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=459.2874
  [Client 55] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=977.7952
  [Client 80] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1085.1724
  [Client 48] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=42156.4170
  [Client 65] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=726.0901
  [Client 56] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=206.1057
  [Client 45] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=451.7760
  [Client 32] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1213.7698
  [Client 29] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=5616.4253
  [Client 15] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=187.1058
  [Client 85] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=14002.7676
  [Client 35] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=3811.2759
  [Client 13] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1398420.7533
  [Client 51] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=243.3653
  [Client 93] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=284.2793
  [Client 43] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=177.6718
  [Client 89] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=285.9996
  [Client  1] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=136.3953
  [Client 26] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2225.1765
  [Client 78] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=655.7834
  [Client 31] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=3555.5576
  [Client 11] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=8991716.8044
  [Client 84] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=673.3039
  [Client 46] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1420.3515
  [Client 75] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2221.9253
  [Client  2] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=237.8434
  [Client 64] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=3001.3857
  [Client 41] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=836291.4066
  [Client 98] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2078002.9285
  [Client 77] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=442.7952
  [Client 61] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=25050.4915
  [Client 39] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=32308849.7353
  [Client 54] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=968.9190
  [Client 60] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=510.0243
  [Client  4] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=3555.3690
  [Client 69] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=105804.7532
  [Client 66] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=21292.5541
  [Client 16] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=591.6384
  [Client 73] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=565.8987
  [Client 57] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=264.5177
  [Client 87] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1623.6169
  [Client 74] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=242.0838
  [Client 24] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1578.9065
  [Client 30] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=174416.1238
  [Client 67] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=301.3926
  [Client 91] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=181.7101
  [Client 34] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=913.1485
  [Client 19] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=218.9132
  [Client  9] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=45913.4797
  [Client 86] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=62216.6590
  [Client 52] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=955.0289
  [Client 18] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=161.3212
  [Client 47] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=246.9297
  [Client 49] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1492.3918
  [Client 10] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=908.6515
  [Client 68] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=16579.9770
  [Client 36] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2200036.8708
  [Client 28] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=127043.8573
  [Client 83] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=385.9410
  [Client 50] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=391.6352
  [Client  6] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1661429.7210
  [Client 17] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=41003203059824042442752.0000
  [Client 97] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=756.5178
  [Client 53] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=31227.5299
  [Client 20] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=391.2907
  [Client 72] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=425.1944
  [Client 79] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=347.1533
  [Client  7] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=116918.9591
  [Client 70] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=447.8550
  [Client 92] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=23599.9542
  [Client 25] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=787.9349
  [Client 88] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=757.9166
  [Client  3] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=4081.4911
  [Client 44] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=464.7090
  [Client 42] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=650.6715
  [Client 62] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1546.7097
  [Client  5] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1444.8211
  [Client 90] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=353.2434
  [Client  8] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=83625.8193
  [Client 82] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2482.7431
  [Client 21] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=606.5096
  [Client 12] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1863.5269
  [Client 27] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2794.9020
  [Client 94] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=4774367.9911
  [Edge 0] G1 | E1 | loss=482390624233224667136.0000
  [Edge 0] G1 | E2 | Selected 85/85
  [Client 80] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 82] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 89] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client  7] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 43] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 24] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 67] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 28] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 10] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 60] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 30] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client  3] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 88] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 65] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 31] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 77] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 48] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client  4] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 83] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 61] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 53] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 49] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 57] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 74] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 68] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 29] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 56] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 35] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 46] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 73] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 51] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 64] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client  6] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 91] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 36] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 41] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 11] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 96] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 72] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 39] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 47] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 32] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 21] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 44] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 52] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 55] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 85] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 69] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client  8] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 27] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 97] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 54] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 37] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
