
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 85/85
  [Client 37] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=261.1898
  [Client 96] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=565.6996
  [Client 55] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=237.7587
  [Client 80] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=366.4455
  [Client 48] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=376.8867
  [Client 65] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=254273.0801
  [Client 56] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=13774.7345
  [Client 45] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=317.4636
  [Client 32] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1699.4339
  [Client 29] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2767088.8396
  [Client 15] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=242.4547
  [Client 85] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=195.5850
  [Client 35] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=305.7375
  [Client 13] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1269.1510
  [Client 51] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2998.3067
  [Client 93] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1068.6463
  [Client 43] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=799.2077
  [Client 89] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=941.6385
  [Client  1] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=896.4767
  [Client 26] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=136.1190
  [Client 78] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=493.7844
  [Client 31] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=427.7589
  [Client 11] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=481.3372
  [Client 84] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=318.1490
  [Client 46] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=215.3734
  [Client 75] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=334309.5087
  [Client  2] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=629.0871
  [Client 64] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1131.8259
  [Client 41] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=245.4736
  [Client 98] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=984097.6958
  [Client 77] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1109.1581
  [Client 61] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2310.5868
  [Client 39] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1668.3148
  [Client 54] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=681.9869
  [Client 60] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=117522386274.3934
  [Client  4] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=180.1657
  [Client 69] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=322.3045
  [Client 66] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=105704.2283
  [Client 16] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=339.1380
