
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 50/50
  [Client 44] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=180.2168
  [Client 47] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1886.8564
  [Client 49] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=256.4274
  [Client 64] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=14799.6928
  [Client 73] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=120311.1074
  [Client  3] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=141.8768
  [Client 41] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=nan
  [Client 25] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=3576.1707
  [Client 75] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=404.5093
  [Client 72] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=983.0752
  [Client 76] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1434.5131
  [Client  9] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=7746.3244
  [Client 12] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=156051.6444
  [Client 56] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=2402.0682
  [Client 79] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=658.7361
  [Client 84] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=1392.7790
  [Client 58] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=18860.1075
  [Client 14] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=195.1086
  [Client 55] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=192737201.3710
  [Client 33] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=153.7960
  [Client 70] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=935.3992
  [Client 10] Round 1 | pFedMe(λ=35.0,β=1.0) | loss=3228.8320
