
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 85/85
  [Client 37] Round 1 | FedAvg | loss=2.2143
  [Client 96] Round 1 | FedAvg | loss=0.0851
  [Client 55] Round 1 | FedAvg | loss=3.1309
  [Client 80] Round 1 | FedAvg | loss=2.5737
  [Client 48] Round 1 | FedAvg | loss=2.1232
  [Client 65] Round 1 | FedAvg | loss=2.5512
  [Client 56] Round 1 | FedAvg | loss=2.1145
  [Client 45] Round 1 | FedAvg | loss=0.0595
  [Client 32] Round 1 | FedAvg | loss=2.3672
  [Client 29] Round 1 | FedAvg | loss=2.2906
  [Client 15] Round 1 | FedAvg | loss=1.6806
  [Client 85] Round 1 | FedAvg | loss=1.6724
  [Client 35] Round 1 | FedAvg | loss=1.9206
  [Client 13] Round 1 | FedAvg | loss=1.9094
  [Client 51] Round 1 | FedAvg | loss=2.0579
  [Client 93] Round 1 | FedAvg | loss=2.4745
  [Client 43] Round 1 | FedAvg | loss=1.9694
  [Client 89] Round 1 | FedAvg | loss=1.8879
  [Client  1] Round 1 | FedAvg | loss=2.0383
  [Client 26] Round 1 | FedAvg | loss=1.7648
  [Client 78] Round 1 | FedAvg | loss=0.1150
  [Client 31] Round 1 | FedAvg | loss=1.7625
  [Client 11] Round 1 | FedAvg | loss=2.0377
  [Client 84] Round 1 | FedAvg | loss=2.6037
  [Client 46] Round 1 | FedAvg | loss=2.3721
  [Client 75] Round 1 | FedAvg | loss=2.5557
  [Client  2] Round 1 | FedAvg | loss=2.0669
  [Client 64] Round 1 | FedAvg | loss=1.9264
  [Client 41] Round 1 | FedAvg | loss=1.9782
  [Client 98] Round 1 | FedAvg | loss=2.4609
  [Client 77] Round 1 | FedAvg | loss=0.1209
  [Client 61] Round 1 | FedAvg | loss=2.0649
  [Client 39] Round 1 | FedAvg | loss=2.3794
  [Client 54] Round 1 | FedAvg | loss=3.1484
  [Client 60] Round 1 | FedAvg | loss=2.4832
  [Client  4] Round 1 | FedAvg | loss=2.9287
  [Client 69] Round 1 | FedAvg | loss=2.4581
  [Client 66] Round 1 | FedAvg | loss=2.6072
  [Client 16] Round 1 | FedAvg | loss=2.5650
  [Client 73] Round 1 | FedAvg | loss=2.1672
  [Client 57] Round 1 | FedAvg | loss=2.5693
  [Client 87] Round 1 | FedAvg | loss=3.1325
  [Client 74] Round 1 | FedAvg | loss=2.0218
  [Client 24] Round 1 | FedAvg | loss=3.0107
  [Client 30] Round 1 | FedAvg | loss=2.1459
  [Client 67] Round 1 | FedAvg | loss=2.1082
  [Client 91] Round 1 | FedAvg | loss=2.2755
  [Client 34] Round 1 | FedAvg | loss=1.8711
  [Client 19] Round 1 | FedAvg | loss=2.5114
  [Client  9] Round 1 | FedAvg | loss=2.0726
  [Client 86] Round 1 | FedAvg | loss=2.5968
  [Client 52] Round 1 | FedAvg | loss=1.8382
  [Client 18] Round 1 | FedAvg | loss=1.9682
  [Client 47] Round 1 | FedAvg | loss=2.4667
  [Client 49] Round 1 | FedAvg | loss=1.8054
  [Client 10] Round 1 | FedAvg | loss=2.7021
  [Client 68] Round 1 | FedAvg | loss=3.2837
  [Client 36] Round 1 | FedAvg | loss=1.7362
  [Client 28] Round 1 | FedAvg | loss=2.8957
  [Client 83] Round 1 | FedAvg | loss=1.7387
  [Client 50] Round 1 | FedAvg | loss=2.5465
  [Client  6] Round 1 | FedAvg | loss=2.2025
  [Client 17] Round 1 | FedAvg | loss=2.4988
  [Client 97] Round 1 | FedAvg | loss=2.7173
  [Client 53] Round 1 | FedAvg | loss=3.4976
  [Client 20] Round 1 | FedAvg | loss=2.7276
  [Client 72] Round 1 | FedAvg | loss=2.6672
  [Client 79] Round 1 | FedAvg | loss=0.0724
  [Client  7] Round 1 | FedAvg | loss=2.1085
  [Client 70] Round 1 | FedAvg | loss=2.3352
  [Client 92] Round 1 | FedAvg | loss=2.6614
  [Client 25] Round 1 | FedAvg | loss=2.0066
  [Client 88] Round 1 | FedAvg | loss=0.1213
  [Client  3] Round 1 | FedAvg | loss=2.5311
  [Client 44] Round 1 | FedAvg | loss=2.6705
  [Client 42] Round 1 | FedAvg | loss=3.3133
  [Client 62] Round 1 | FedAvg | loss=2.5175
  [Client  5] Round 1 | FedAvg | loss=3.9466
  [Client 90] Round 1 | FedAvg | loss=1.9134
  [Client  8] Round 1 | FedAvg | loss=2.0381
  [Client 82] Round 1 | FedAvg | loss=2.6235
  [Client 21] Round 1 | FedAvg | loss=0.0714
  [Client 12] Round 1 | FedAvg | loss=1.8679
  [Client 27] Round 1 | FedAvg | loss=2.4434
  [Client 94] Round 1 | FedAvg | loss=2.9577
  [Edge 0] G1 | E1 | loss=2.1823
  [Edge 0] G1 | E2 | Selected 85/85
  [Client 80] Round 1 | FedAvg | loss=1.1568
  [Client 82] Round 1 | FedAvg | loss=1.1165
  [Client 89] Round 1 | FedAvg | loss=1.4418
  [Client  7] Round 1 | FedAvg | loss=1.3097
  [Client 43] Round 1 | FedAvg | loss=1.2832
  [Client 24] Round 1 | FedAvg | loss=1.5019
  [Client 67] Round 1 | FedAvg | loss=0.9312
  [Client 28] Round 1 | FedAvg | loss=1.2105
  [Client 10] Round 1 | FedAvg | loss=1.5824
  [Client 60] Round 1 | FedAvg | loss=1.1905
  [Client 30] Round 1 | FedAvg | loss=1.5900
  [Client  3] Round 1 | FedAvg | loss=1.1346
  [Client 88] Round 1 | FedAvg | loss=0.3813
  [Client 65] Round 1 | FedAvg | loss=1.4221
  [Client 31] Round 1 | FedAvg | loss=1.2251
  [Client 77] Round 1 | FedAvg | loss=0.3671
  [Client 48] Round 1 | FedAvg | loss=1.1355
  [Client  4] Round 1 | FedAvg | loss=1.3841
  [Client 83] Round 1 | FedAvg | loss=1.2617
  [Client 61] Round 1 | FedAvg | loss=1.2390
  [Client 53] Round 1 | FedAvg | loss=1.4742
  [Client 49] Round 1 | FedAvg | loss=1.3028
  [Client 57] Round 1 | FedAvg | loss=1.1958
  [Client 74] Round 1 | FedAvg | loss=1.3721
  [Client 68] Round 1 | FedAvg | loss=1.2234
  [Client 29] Round 1 | FedAvg | loss=1.6598
  [Client 56] Round 1 | FedAvg | loss=1.2922
  [Client 35] Round 1 | FedAvg | loss=1.1527
  [Client 46] Round 1 | FedAvg | loss=1.3347
  [Client 73] Round 1 | FedAvg | loss=1.2667
  [Client 51] Round 1 | FedAvg | loss=1.2299
  [Client 64] Round 1 | FedAvg | loss=0.9579
  [Client  6] Round 1 | FedAvg | loss=1.1392
  [Client 91] Round 1 | FedAvg | loss=1.4252
  [Client 36] Round 1 | FedAvg | loss=1.0029
  [Client 41] Round 1 | FedAvg | loss=1.1470
  [Client 11] Round 1 | FedAvg | loss=1.1921
  [Client 96] Round 1 | FedAvg | loss=0.3676
  [Client 72] Round 1 | FedAvg | loss=1.2341
  [Client 39] Round 1 | FedAvg | loss=1.1717
  [Client 47] Round 1 | FedAvg | loss=1.5914
  [Client 32] Round 1 | FedAvg | loss=1.4267
  [Client 21] Round 1 | FedAvg | loss=0.4109
  [Client 44] Round 1 | FedAvg | loss=1.0331
  [Client 52] Round 1 | FedAvg | loss=1.5501
  [Client 55] Round 1 | FedAvg | loss=1.0933
  [Client 85] Round 1 | FedAvg | loss=0.9826
  [Client 69] Round 1 | FedAvg | loss=1.3725
  [Client  8] Round 1 | FedAvg | loss=1.3346
  [Client 27] Round 1 | FedAvg | loss=1.2455
  [Client 97] Round 1 | FedAvg | loss=0.8793
  [Client 54] Round 1 | FedAvg | loss=1.3253
  [Client 37] Round 1 | FedAvg | loss=1.5296
  [Client  5] Round 1 | FedAvg | loss=1.3783
  [Client 93] Round 1 | FedAvg | loss=1.2365
  [Client 92] Round 1 | FedAvg | loss=1.1636
  [Client 70] Round 1 | FedAvg | loss=1.3086
  [Client 16] Round 1 | FedAvg | loss=1.4890
  [Client 34] Round 1 | FedAvg | loss=1.2931
  [Client 20] Round 1 | FedAvg | loss=1.3818
  [Client 45] Round 1 | FedAvg | loss=0.4364
  [Client 19] Round 1 | FedAvg | loss=1.3170
  [Client 25] Round 1 | FedAvg | loss=0.9491
  [Client 66] Round 1 | FedAvg | loss=1.2060
  [Client 78] Round 1 | FedAvg | loss=0.3849
  [Client 90] Round 1 | FedAvg | loss=1.1919
  [Client 12] Round 1 | FedAvg | loss=1.3819
  [Client  1] Round 1 | FedAvg | loss=1.0392
  [Client 26] Round 1 | FedAvg | loss=1.6179
  [Client 86] Round 1 | FedAvg | loss=1.0952
  [Client  2] Round 1 | FedAvg | loss=1.2385
  [Client 62] Round 1 | FedAvg | loss=1.3960
  [Client 75] Round 1 | FedAvg | loss=1.3154
  [Client 18] Round 1 | FedAvg | loss=1.5716
  [Client 94] Round 1 | FedAvg | loss=1.3990
  [Client 98] Round 1 | FedAvg | loss=1.3343
  [Client 42] Round 1 | FedAvg | loss=1.2754
  [Client 13] Round 1 | FedAvg | loss=1.2410
  [Client 17] Round 1 | FedAvg | loss=1.2634
  [Client 87] Round 1 | FedAvg | loss=1.7207
  [Client  9] Round 1 | FedAvg | loss=1.1173
  [Client 15] Round 1 | FedAvg | loss=1.1667
  [Client 79] Round 1 | FedAvg | loss=0.4593
  [Client 84] Round 1 | FedAvg | loss=1.3973
  [Client 50] Round 1 | FedAvg | loss=1.7006
  [Edge 0] G1 | E2 | loss=1.2147
  [Edge 0] G1 | E3 | Selected 85/85
  [Client 55] Round 1 | FedAvg | loss=1.4087
  [Client 57] Round 1 | FedAvg | loss=0.9962
  [Client 98] Round 1 | FedAvg | loss=1.2829
  [Client 39] Round 1 | FedAvg | loss=1.1037
  [Client 88] Round 1 | FedAvg | loss=0.3583
  [Client 77] Round 1 | FedAvg | loss=0.3683
  [Client 28] Round 1 | FedAvg | loss=1.1836
  [Client  6] Round 1 | FedAvg | loss=0.8746
  [Client 73] Round 1 | FedAvg | loss=1.0652
  [Client 70] Round 1 | FedAvg | loss=1.0957
  [Client 74] Round 1 | FedAvg | loss=1.1885
  [Client 64] Round 1 | FedAvg | loss=0.9824
  [Client 42] Round 1 | FedAvg | loss=1.1065
  [Client  5] Round 1 | FedAvg | loss=1.1554
  [Client 36] Round 1 | FedAvg | loss=0.8300
  [Client 86] Round 1 | FedAvg | loss=1.1802
  [Client 91] Round 1 | FedAvg | loss=1.3229
  [Client 48] Round 1 | FedAvg | loss=1.0068
  [Client 32] Round 1 | FedAvg | loss=1.3143
  [Client 69] Round 1 | FedAvg | loss=1.3473
  [Client 49] Round 1 | FedAvg | loss=1.1794
  [Client 24] Round 1 | FedAvg | loss=1.2990
  [Client 12] Round 1 | FedAvg | loss=1.0243
  [Client 47] Round 1 | FedAvg | loss=1.3789
  [Client  8] Round 1 | FedAvg | loss=1.0593
  [Client 20] Round 1 | FedAvg | loss=1.4691
  [Client 94] Round 1 | FedAvg | loss=1.2537
  [Client 43] Round 1 | FedAvg | loss=1.2693
  [Client 56] Round 1 | FedAvg | loss=1.2029
  [Client 65] Round 1 | FedAvg | loss=1.1351
  [Client 54] Round 1 | FedAvg | loss=1.1644
  [Client 17] Round 1 | FedAvg | loss=0.9834
  [Client 29] Round 1 | FedAvg | loss=1.4608
  [Client 97] Round 1 | FedAvg | loss=0.8994
