
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7774
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1205
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3820
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9470
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3744
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1501
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8534
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1557
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2700
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7871
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5764
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6929
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4016
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9646
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2379
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7122
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4346
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3063
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7957
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7250
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0540
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5534
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4771
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2573
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3445
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7004
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7779
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4836
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0870
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9615
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0885
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6874
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2753
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6638
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7295
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5678
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8091
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5602
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3880
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4615
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3918
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0154
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5150
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6568
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7993
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2381
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8178
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9008
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7398
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9189
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8561
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6644
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5285
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2613
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0643
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9979
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7070
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5150
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6678
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6078
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9394
