
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8830
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0887
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4495
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5148
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4159
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2578
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5761
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1053
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9395
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7429
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3375
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4008
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8014
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5062
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1267
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5947
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6208
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3852
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5663
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9271
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1182
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6956
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4172
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4983
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8467
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5587
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1669
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4438
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9749
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9387
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0750
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7982
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4850
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2051
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7349
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6301
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8396
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8181
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0396
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6614
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3879
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3789
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6439
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1267
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2410
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2985
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5232
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7241
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5115
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9057
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5132
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9627
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2099
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4265
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6363
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1360
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7842
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5211
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6687
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3189
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2094
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9846
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1629
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4696
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5177
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7469
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8026
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1090
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5986
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1047
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2974
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3200
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1318
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1982
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0292
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0410
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6216
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4187
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2371
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1970
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6025
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1236
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2616
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3973
  [Client 94] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8482
  [Edge 0] G1 | E1 | loss=1.6416
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 85/85
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9785
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9623
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4883
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9754
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0353
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3964
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9002
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0814
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1269
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0659
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4268
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9322
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.3237
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2409
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1004
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2387
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1229
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0378
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8554
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4103
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2678
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1071
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9237
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1942
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0761
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3222
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3004
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2061
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1279
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9935
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2576
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8235
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0385
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2856
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9015
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0647
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1647
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2842
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9264
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8989
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2691
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1861
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2589
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9194
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3556
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0653
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9344
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4298
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1094
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6202
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8993
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1848
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0552
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0320
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3142
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2243
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3249
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3702
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1673
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2357
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2891
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2322
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7780
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9286
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.3154
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2594
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1400
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8830
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1964
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0916
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9014
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1352
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2428
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1864
  [Client 94] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0597
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1199
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0509
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1103
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9987
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2642
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9217
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1786
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.3014
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2424
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1521
  [Edge 0] G1 | E2 | loss=1.0565
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 85/85
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7951
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8449
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0792
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0642
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2330
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2256
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2800
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0866
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9350
