2026-04-14 07:20:47,174 INFO    MainThread:73732 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-14 07:20:47,175 INFO    MainThread:73732 [wandb_setup.py:_flush():81] Configure stats pid to 73732
2026-04-14 07:20:47,175 INFO    MainThread:73732 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-14 07:20:47,175 INFO    MainThread:73732 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /cephyr/users/ziangg/Alvis/tf-dpfl/fedavg/wandb/run-20260414_072047-j3biqpzv/logs/debug.log
2026-04-14 07:20:47,175 INFO    MainThread:73732 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /cephyr/users/ziangg/Alvis/tf-dpfl/fedavg/wandb/run-20260414_072047-j3biqpzv/logs/debug-internal.log
2026-04-14 07:20:47,175 INFO    MainThread:73732 [wandb_init.py:init():844] calling init triggers
2026-04-14 07:20:47,175 INFO    MainThread:73732 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'seed': 42, 'data': {'dataset': 'cifar10', 'img_size': 32, 'batch_size': 16, 'shuffle_buffer': 10000, 'num_classes': 10}, 'federation': {'edge_assignment': 'semantic', 'client_fraction': 1.0, 'warmup_rounds': 5, 'n_clients': 100, 'n_edges': 2, 'edge_rounds': 7, 'n_rounds': 200, 'partition': 'pathological', 'alpha': 0.5}, 'training': {'local_epochs': 1, 'learning_rate': 0.02, 'lr_decay': 0.992, 'drift_correction': 'hierpfedme', 'proximal_ref': 'edge', 'mu': 1.0, 'mu_edge': 0.1, 'mu_global': 0.01, 'alpha_feddyn': 0.1, 'alpha_feddyn_global': 0.02, 'lambda_pfedme': 35.0, 'beta_pfedme': 1.0, 'pfedme_warm_start': False, 'lambda1_hier': 35.0, 'lambda2_hier': 35.0, 'beta_hier': 1.0, 'inner_steps_hier': 1, 'alpha_inner': 0.01}, 'model': {'arch': 'cifar_cnn_3conv'}, 'wandb': {'enabled': True, 'entity': '3445339138-kth-royal-institute-of-technology', 'project': 'HierFL-cifar10', 'run_name': 'B3_hierpfedme_c100_I7'}, 'evaluation': {'eval_interval': 10}, '_wandb': {}}
2026-04-14 07:20:47,175 INFO    MainThread:73732 [wandb_init.py:init():892] starting backend
2026-04-14 07:20:47,434 INFO    MainThread:73732 [wandb_init.py:init():895] sending inform_init request
2026-04-14 07:20:47,443 INFO    MainThread:73732 [wandb_init.py:init():903] backend started and connected
2026-04-14 07:20:47,445 INFO    MainThread:73732 [wandb_init.py:init():973] updated telemetry
2026-04-14 07:20:47,456 INFO    MainThread:73732 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-14 07:20:48,226 INFO    MainThread:73732 [wandb_init.py:init():1042] starting run threads in backend
2026-04-14 07:20:48,588 INFO    MainThread:73732 [wandb_run.py:_console_start():2524] atexit reg
2026-04-14 07:20:48,588 INFO    MainThread:73732 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-14 07:20:48,588 INFO    MainThread:73732 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-14 07:20:48,588 INFO    MainThread:73732 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-14 07:20:48,592 INFO    MainThread:73732 [wandb_init.py:init():1082] run started, returning control to user process
