
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0279
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0663
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3983
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8788
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4408
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2608
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7629
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0852
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3850
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0830
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7124
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4789
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8287
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3172
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5824
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7180
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6234
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6617
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7169
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4055
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0693
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6189
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6083
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6357
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0034
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2038
