
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.4443
  [Client 96] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.1122
  [Client 55] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.1706
  [Client 80] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.1906
  [Client 48] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.0029
  [Client 65] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.6540
  [Client 56] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.5338
  [Client 45] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.0578
  [Client 32] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.4013
  [Client 29] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.1375
  [Client 15] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.9160
  [Client 85] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.9792
  [Client 35] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.6038
  [Client 13] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.9032
  [Client 51] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.4366
  [Client 93] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.5354
  [Client 43] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.2021
  [Client 89] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.2743
  [Client  1] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.5909
  [Client 26] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.8598
  [Client 78] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.1159
  [Client 31] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.1392
  [Client 11] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.9310
  [Client 84] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.8941
  [Client 46] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.0973
  [Client 75] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.7901
  [Client  2] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.7236
  [Client 64] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.9343
  [Client 41] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.0122
  [Client 98] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.1574
  [Client 77] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.1633
  [Client 61] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.8418
  [Client 39] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.1052
  [Client 54] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.5354
  [Client 60] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.1391
  [Client  4] Round 1 | Hier-pFedMe(λ2=15.0) | loss=0.8581
  [Client 69] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.6430
  [Client 66] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.7938
  [Client 16] Round 1 | Hier-pFedMe(λ2=15.0) | loss=1.0690
