
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.6854
  [Client 96] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.0617
  [Client 55] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.9487
  [Client 80] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.6377
  [Client 48] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.5655
  [Client 65] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5896
  [Client 56] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8768
  [Client 45] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.0627
  [Client 32] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5007
  [Client 29] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.1565
  [Client 15] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8209
  [Client 85] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.7185
  [Client 35] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.7182
  [Client 13] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.6885
  [Client 51] Round 1 | Hier-pFedMe(λ2=50.0) | loss=3.4034
  [Client 93] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2121
  [Client 43] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2271
  [Client 89] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.4247
  [Client  1] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5811
  [Client 26] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8198
  [Client 78] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.1233
  [Client 31] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.4026
  [Client 11] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5684
  [Client 84] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.7026
  [Client 46] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.4639
  [Client 75] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.0045
  [Client  2] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.0313
  [Client 64] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8991
  [Client 41] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8331
  [Client 98] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5094
  [Client 77] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.0838
  [Client 61] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.3121
  [Client 39] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.9695
  [Client 54] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5437
  [Client 60] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.0211
  [Client  4] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.8983
  [Client 69] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5820
  [Client 66] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2864
  [Client 16] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.1285
  [Client 73] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.0820
  [Client 57] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.7452
  [Client 87] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.1846
  [Client 74] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.0609
  [Client 24] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.9915
  [Client 30] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2872
  [Client 67] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.7426
  [Client 91] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2057
  [Client 34] Round 1 | Hier-pFedMe(λ2=50.0) | loss=3.9054
  [Client 19] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.8504
  [Client  9] Round 1 | Hier-pFedMe(λ2=50.0) | loss=4.5102
  [Client 86] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2287
  [Client 52] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.3962
  [Client 18] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8067
  [Client 47] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.6777
  [Client 49] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5398
  [Client 10] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.7158
  [Client 68] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.4062
  [Client 36] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.6943
  [Client 28] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.6022
  [Client 83] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.6898
  [Client 50] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.3759
  [Client  6] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.1494
  [Client 17] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.4700
  [Client 97] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.4011
  [Client 53] Round 1 | Hier-pFedMe(λ2=50.0) | loss=4.9350
  [Client 20] Round 1 | Hier-pFedMe(λ2=50.0) | loss=3.2952
  [Client 72] Round 1 | Hier-pFedMe(λ2=50.0) | loss=3.2264
  [Client 79] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.0616
  [Client  7] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2915
  [Client 70] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.5065
  [Client 92] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.0309
  [Client 25] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.9740
  [Client 88] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.1311
  [Client  3] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.8573
  [Client 44] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.4376
  [Client 42] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.7284
  [Client 62] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8439
  [Client  5] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.9924
  [Client 90] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.4681
  [Client  8] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.3604
  [Client 82] Round 1 | Hier-pFedMe(λ2=50.0) | loss=2.2848
  [Client 21] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.0636
  [Client 12] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8861
  [Client 27] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8700
  [Client 94] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.9802
  [Edge 0] G1 | E1 | loss=2.1530
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 85/85
  [Client 80] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1822
  [Client 82] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.6786
  [Client 89] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.6708
  [Client  7] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2332
  [Client 43] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1345
  [Client 24] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3744
  [Client 67] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0871
  [Client 28] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2429
  [Client 10] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3913
  [Client 60] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3845
  [Client 30] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2887
  [Client  3] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3519
  [Client 88] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.4379
  [Client 65] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.5593
  [Client 31] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3400
  [Client 77] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.3524
  [Client 48] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1717
  [Client  4] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2500
  [Client 83] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2609
  [Client 61] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.5919
  [Client 53] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2625
  [Client 49] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3229
  [Client 57] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1718
  [Client 74] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2061
  [Client 68] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0693
  [Client 29] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2804
  [Client 56] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3356
  [Client 35] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2876
  [Client 46] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2560
  [Client 73] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2666
  [Client 51] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.4712
  [Client 64] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0589
  [Client  6] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2355
  [Client 91] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3479
  [Client 36] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1950
  [Client 41] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2557
  [Client 11] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2545
  [Client 96] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.4833
  [Client 72] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3325
  [Client 39] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1060
  [Client 47] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2720
  [Client 32] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.8350
  [Client 21] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.4860
  [Client 44] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0798
  [Client 52] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3717
  [Client 55] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1852
  [Client 85] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1038
  [Client 69] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3413
  [Client  8] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0548
  [Client 27] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0904
  [Client 97] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0879
  [Client 54] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3583
  [Client 37] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3453
  [Client  5] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2810
  [Client 93] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3056
  [Client 92] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2233
  [Client 70] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.5014
  [Client 16] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.7161
  [Client 34] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1258
  [Client 20] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2778
  [Client 45] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.4676
  [Client 19] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2050
  [Client 25] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1042
  [Client 66] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1597
  [Client 78] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.4085
  [Client 90] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2582
  [Client 12] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1268
  [Client  1] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1375
  [Client 26] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3113
  [Client 86] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2744
  [Client  2] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3665
  [Client 62] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0800
  [Client 75] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3092
  [Client 18] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.5368
  [Client 94] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.4133
  [Client 98] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1789
  [Client 42] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2569
  [Client 13] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3594
  [Client 17] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.1732
  [Client 87] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.6789
  [Client  9] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3098
  [Client 15] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2901
  [Client 79] Round 1 | Hier-pFedMe(λ2=50.0) | loss=0.4797
  [Client 84] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.5129
  [Client 50] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3229
  [Edge 0] G1 | E2 | loss=1.2229
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 85/85
  [Client 55] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.3338
  [Client 57] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2469
  [Client 98] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.2969
  [Client 39] Round 1 | Hier-pFedMe(λ2=50.0) | loss=1.0187
