
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9818
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8455
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4801
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1101
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5127
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7337
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9954
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5731
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9843
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7131
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0472
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7515
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4627
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7959
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1000
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2835
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6760
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5445
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4772
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4448
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5573
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8476
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6599
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7253
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2360
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1203
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9962
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4747
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4346
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1686
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0910
