
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9670
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7787
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6571
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5140
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1471
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9777
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1939
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0329
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0657
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6906
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9654
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0295
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8334
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9405
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1086
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7438
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2839
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5862
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9231
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0967
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4884
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5717
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6800
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9740
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2738
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4274
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1163
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7092
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8997
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8702
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1009
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7209
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7448
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0937
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9513
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8812
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0760
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7049
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7668
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6355
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0217
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4233
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2806
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2014
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1022
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2924
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1976
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9285
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2784
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5087
  [Edge 0] G1 | E1 | loss=1.7891
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2975
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2880
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2192
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9122
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2774
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1009
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2774
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8752
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0927
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2286
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9169
