
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8552
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.1163
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7170
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4201
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4392
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1675
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1510
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0801
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2070
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0191
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4077
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6609
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5995
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7207
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1050
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9468
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6772
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9958
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7159
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2614
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0649
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6500
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5980
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4158
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9288
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0848
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4690
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6613
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3612
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1351
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0860
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8650
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6195
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1396
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3890
