
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 50/50
  [Client 67] Round 1 | FedAvg | loss=2.8161
  [Client 20] Round 1 | FedAvg | loss=2.7148
  [Client 47] Round 1 | FedAvg | loss=2.8134
  [Client 49] Round 1 | FedAvg | loss=3.2697
  [Client 98] Round 1 | FedAvg | loss=3.9259
  [Client 42] Round 1 | FedAvg | loss=3.8543
  [Client 89] Round 1 | FedAvg | loss=4.2736
  [Client 15] Round 1 | FedAvg | loss=2.7047
  [Client  6] Round 1 | FedAvg | loss=3.4922
  [Client 41] Round 1 | FedAvg | loss=3.4296
  [Client 26] Round 1 | FedAvg | loss=3.2697
  [Client 88] Round 1 | FedAvg | loss=2.6795
  [Client 53] Round 1 | FedAvg | loss=3.8939
  [Client 93] Round 1 | FedAvg | loss=5.4264
  [Client 28] Round 1 | FedAvg | loss=2.9106
  [Client 87] Round 1 | FedAvg | loss=3.9319
  [Client 84] Round 1 | FedAvg | loss=3.4542
  [Client 80] Round 1 | FedAvg | loss=4.2343
  [Client 30] Round 1 | FedAvg | loss=3.4582
  [Client  8] Round 1 | FedAvg | loss=2.8261
  [Client 61] Round 1 | FedAvg | loss=3.7934
  [Client 99] Round 1 | FedAvg | loss=2.8141
  [Client 63] Round 1 | FedAvg | loss=3.2858
  [Client 83] Round 1 | FedAvg | loss=2.6323
  [Client 69] Round 1 | FedAvg | loss=2.8486
  [Client 65] Round 1 | FedAvg | loss=4.8126
  [Client 79] Round 1 | FedAvg | loss=3.0380
  [Client 62] Round 1 | FedAvg | loss=2.5912
  [Client 48] Round 1 | FedAvg | loss=2.8127
  [Client 71] Round 1 | FedAvg | loss=3.2457
  [Client 74] Round 1 | FedAvg | loss=3.3564
  [Client 40] Round 1 | FedAvg | loss=4.0735
  [Client 46] Round 1 | FedAvg | loss=4.0700
  [Client 11] Round 1 | FedAvg | loss=2.8568
  [Client 64] Round 1 | FedAvg | loss=5.9547
  [Client 90] Round 1 | FedAvg | loss=2.9819
  [Client 81] Round 1 | FedAvg | loss=3.2456
