
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2735
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0730
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5457
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6286
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9145
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7399
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1270
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2915
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0060
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4013
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6357
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3836
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8077
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8403
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2915
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7223
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0099
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0139
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8159
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6457
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7042
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4192
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6261
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2899
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5986
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5172
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4331
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1896
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1806
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9813
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4220
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5084
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2990
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4800
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.6454
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8631
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6668
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4559
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8514
