
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 50/50
  [Client 67] Round 1 | FedAvg | loss=1.8345
  [Client 20] Round 1 | FedAvg | loss=1.6847
  [Client 47] Round 1 | FedAvg | loss=1.7350
  [Client 49] Round 1 | FedAvg | loss=2.0745
  [Client 98] Round 1 | FedAvg | loss=2.2522
  [Client 42] Round 1 | FedAvg | loss=1.9911
  [Client 89] Round 1 | FedAvg | loss=2.2935
  [Client 15] Round 1 | FedAvg | loss=1.7394
  [Client  6] Round 1 | FedAvg | loss=2.1793
  [Client 41] Round 1 | FedAvg | loss=2.2343
  [Client 26] Round 1 | FedAvg | loss=1.9821
  [Client 88] Round 1 | FedAvg | loss=1.9862
  [Client 53] Round 1 | FedAvg | loss=2.0197
  [Client 93] Round 1 | FedAvg | loss=2.5942
  [Client 28] Round 1 | FedAvg | loss=2.0812
  [Client 87] Round 1 | FedAvg | loss=2.1040
  [Client 84] Round 1 | FedAvg | loss=2.0099
  [Client 80] Round 1 | FedAvg | loss=2.1355
  [Client 30] Round 1 | FedAvg | loss=2.1222
  [Client  8] Round 1 | FedAvg | loss=1.9172
  [Client 61] Round 1 | FedAvg | loss=1.6669
  [Client 99] Round 1 | FedAvg | loss=1.9588
  [Client 63] Round 1 | FedAvg | loss=1.9862
  [Client 83] Round 1 | FedAvg | loss=2.0125
  [Client 69] Round 1 | FedAvg | loss=2.0216
  [Client 65] Round 1 | FedAvg | loss=2.4911
  [Client 79] Round 1 | FedAvg | loss=2.0765
  [Client 62] Round 1 | FedAvg | loss=1.6800
  [Client 48] Round 1 | FedAvg | loss=1.7687
  [Client 71] Round 1 | FedAvg | loss=2.1845
  [Client 74] Round 1 | FedAvg | loss=1.7105
  [Client 40] Round 1 | FedAvg | loss=2.4044
  [Client 46] Round 1 | FedAvg | loss=2.1400
  [Client 11] Round 1 | FedAvg | loss=1.8474
  [Client 64] Round 1 | FedAvg | loss=2.2702
  [Client 90] Round 1 | FedAvg | loss=2.0429
  [Client 81] Round 1 | FedAvg | loss=1.8595
  [Client  3] Round 1 | FedAvg | loss=1.7795
  [Client 12] Round 1 | FedAvg | loss=1.8085
  [Client 58] Round 1 | FedAvg | loss=2.3205
  [Client 54] Round 1 | FedAvg | loss=2.0921
  [Client 44] Round 1 | FedAvg | loss=1.5157
  [Client 22] Round 1 | FedAvg | loss=2.0977
  [Client 31] Round 1 | FedAvg | loss=1.1087
  [Client  7] Round 1 | FedAvg | loss=2.4684
  [Client 23] Round 1 | FedAvg | loss=2.1928
  [Client 55] Round 1 | FedAvg | loss=2.0389
  [Client  1] Round 1 | FedAvg | loss=1.7054
  [Client  9] Round 1 | FedAvg | loss=2.1418
  [Client 60] Round 1 | FedAvg | loss=1.9750
  [Edge 0] G1 | E1 | loss=1.9584
  [Edge 0] G1 | E2 | Selected 50/50
  [Client 54] Round 1 | FedAvg | loss=1.7383
  [Client 89] Round 1 | FedAvg | loss=1.9328
  [Client 74] Round 1 | FedAvg | loss=1.4663
  [Client 55] Round 1 | FedAvg | loss=1.8457
  [Client 80] Round 1 | FedAvg | loss=1.9629
  [Client  1] Round 1 | FedAvg | loss=1.4853
  [Client 30] Round 1 | FedAvg | loss=1.7310
  [Client 48] Round 1 | FedAvg | loss=1.3615
  [Client 41] Round 1 | FedAvg | loss=1.9641
  [Client 44] Round 1 | FedAvg | loss=1.3733
  [Client 69] Round 1 | FedAvg | loss=1.8750
  [Client 42] Round 1 | FedAvg | loss=1.7361
  [Client 84] Round 1 | FedAvg | loss=1.8478
  [Client 20] Round 1 | FedAvg | loss=1.4994
  [Client 83] Round 1 | FedAvg | loss=1.8441
  [Client  6] Round 1 | FedAvg | loss=1.8500
  [Client  3] Round 1 | FedAvg | loss=1.6021
  [Client 64] Round 1 | FedAvg | loss=1.7946
  [Client 15] Round 1 | FedAvg | loss=1.5570
  [Client  9] Round 1 | FedAvg | loss=1.8548
  [Client 62] Round 1 | FedAvg | loss=1.5473
  [Client 49] Round 1 | FedAvg | loss=1.8279
  [Client 71] Round 1 | FedAvg | loss=1.7296
  [Client 46] Round 1 | FedAvg | loss=1.8823
  [Client 67] Round 1 | FedAvg | loss=1.7203
  [Client 26] Round 1 | FedAvg | loss=1.8110
  [Client  7] Round 1 | FedAvg | loss=1.9691
  [Client 63] Round 1 | FedAvg | loss=1.8256
  [Client 58] Round 1 | FedAvg | loss=1.7932
  [Client 12] Round 1 | FedAvg | loss=1.5596
  [Client 79] Round 1 | FedAvg | loss=1.8536
  [Client 23] Round 1 | FedAvg | loss=1.6926
  [Client 87] Round 1 | FedAvg | loss=1.5011
  [Client 81] Round 1 | FedAvg | loss=1.5576
  [Client 93] Round 1 | FedAvg | loss=1.6851
  [Client 98] Round 1 | FedAvg | loss=1.7561
  [Client 40] Round 1 | FedAvg | loss=1.9185
  [Client 90] Round 1 | FedAvg | loss=1.8967
  [Client  8] Round 1 | FedAvg | loss=1.6781
  [Client 11] Round 1 | FedAvg | loss=1.6302
  [Client 88] Round 1 | FedAvg | loss=1.8050
  [Client 22] Round 1 | FedAvg | loss=1.7377
  [Client 31] Round 1 | FedAvg | loss=1.0231
  [Client 47] Round 1 | FedAvg | loss=1.7047
  [Client 28] Round 1 | FedAvg | loss=1.5933
  [Client 65] Round 1 | FedAvg | loss=1.7542
  [Client 99] Round 1 | FedAvg | loss=1.7870
  [Client 53] Round 1 | FedAvg | loss=1.6897
  [Client 61] Round 1 | FedAvg | loss=1.4549
  [Client 60] Round 1 | FedAvg | loss=1.6214
  [Edge 0] G1 | E2 | loss=1.6996
  [Edge 0] G1 | E3 | Selected 50/50
  [Client 62] Round 1 | FedAvg | loss=1.4983
  [Client 15] Round 1 | FedAvg | loss=1.5091
  [Client 60] Round 1 | FedAvg | loss=1.6104
  [Client  6] Round 1 | FedAvg | loss=1.8096
  [Client 74] Round 1 | FedAvg | loss=1.3789
  [Client 11] Round 1 | FedAvg | loss=1.6441
  [Client 87] Round 1 | FedAvg | loss=1.3771
  [Client 40] Round 1 | FedAvg | loss=1.7875
  [Client 61] Round 1 | FedAvg | loss=1.3402
  [Client 84] Round 1 | FedAvg | loss=1.6952
  [Client 26] Round 1 | FedAvg | loss=1.7259
  [Client 80] Round 1 | FedAvg | loss=1.8480
  [Client 23] Round 1 | FedAvg | loss=1.6502
  [Client 22] Round 1 | FedAvg | loss=1.6040
  [Client  3] Round 1 | FedAvg | loss=1.4831
  [Client 41] Round 1 | FedAvg | loss=1.7987
  [Client 99] Round 1 | FedAvg | loss=1.6894
  [Client 89] Round 1 | FedAvg | loss=1.8155
  [Client  7] Round 1 | FedAvg | loss=1.7124
  [Client 79] Round 1 | FedAvg | loss=1.8774
  [Client 98] Round 1 | FedAvg | loss=1.6439
  [Client 71] Round 1 | FedAvg | loss=1.6713
  [Client 55] Round 1 | FedAvg | loss=1.7101
  [Client  9] Round 1 | FedAvg | loss=1.8491
  [Client 64] Round 1 | FedAvg | loss=1.7130
  [Client 12] Round 1 | FedAvg | loss=1.5554
  [Client 30] Round 1 | FedAvg | loss=1.5934
  [Client 54] Round 1 | FedAvg | loss=1.7160
  [Client  8] Round 1 | FedAvg | loss=1.6290
  [Client 65] Round 1 | FedAvg | loss=1.7397
  [Client 93] Round 1 | FedAvg | loss=1.6018
  [Client 67] Round 1 | FedAvg | loss=1.5853
  [Client 20] Round 1 | FedAvg | loss=1.3350
  [Client 83] Round 1 | FedAvg | loss=1.7647
  [Client 44] Round 1 | FedAvg | loss=1.3225
  [Client 49] Round 1 | FedAvg | loss=1.7779
  [Client 48] Round 1 | FedAvg | loss=1.4775
  [Client 28] Round 1 | FedAvg | loss=1.5433
  [Client 42] Round 1 | FedAvg | loss=1.7126
  [Client 58] Round 1 | FedAvg | loss=1.6331
  [Client 90] Round 1 | FedAvg | loss=1.8714
  [Client 63] Round 1 | FedAvg | loss=1.6864
  [Client 31] Round 1 | FedAvg | loss=0.9270
  [Client 81] Round 1 | FedAvg | loss=1.5954
  [Client 46] Round 1 | FedAvg | loss=1.8635
  [Client 69] Round 1 | FedAvg | loss=1.8088
  [Client 88] Round 1 | FedAvg | loss=1.7386
  [Client  1] Round 1 | FedAvg | loss=1.5018
  [Client 53] Round 1 | FedAvg | loss=1.5929
  [Client 47] Round 1 | FedAvg | loss=1.5058
  [Edge 0] G1 | E3 | loss=1.6250
  [Edge 0] G1 | E4 | Selected 50/50
