
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7282
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4334
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6557
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9108
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0200
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9127
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1159
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6371
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9842
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0979
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8098
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7985
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9542
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2547
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5200
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6310
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9251
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0505
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7871
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8026
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4621
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6247
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8879
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8008
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9164
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9458
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9299
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6677
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4856
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9184
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7608
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0899
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0795
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6975
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3017
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0132
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8432
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6507
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4734
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9324
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8426
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4156
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8084
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0261
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4252
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8250
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8062
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6998
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9400
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8186
  [Edge 0] G1 | E1 | loss=1.7793
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7236
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6545
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3118
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6211
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7662
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3114
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5458
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2566
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8157
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2318
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7276
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5911
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6324
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2667
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7056
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8244
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4294
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5844
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4594
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6639
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4596
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7690
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5976
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7610
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5428
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6028
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8491
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5929
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5791
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3635
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.7517
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5357
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3589
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4451
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6805
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6558
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8066
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8264
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6044
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5396
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6935
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5522
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8991
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4195
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4953
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4956
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6283
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6411
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2437
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6461
  [Edge 0] G1 | E2 | loss=1.5586
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 50/50
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3118
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3401
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4695
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5561
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2409
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4530
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1340
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6256
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1467
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4208
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4745
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5960
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4695
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4270
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2741
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6370
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5060
