
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 85/85
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9275
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0344
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5414
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7382
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7167
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9734
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8524
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0161
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9783
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5662
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6868
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7426
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9477
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5146
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8723
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0524
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7508
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8621
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6392
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9791
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0134
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6650
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6476
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2204
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1798
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7991
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6027
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6346
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6058
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7495
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0063
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8156
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6826
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0240
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5323
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8014
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8944
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7168
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9968
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8343
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5310
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9739
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9090
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7627
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2176
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5476
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0066
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0033
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7966
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6303
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6956
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8382
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6377
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0632
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9142
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1224
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6114
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5723
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9542
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6423
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0608
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5149
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5599
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6027
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7451
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0225
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9380
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0155
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6296
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0104
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9885
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.4882
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0129
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6294
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9386
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8895
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5846
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6108
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6277
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7311
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8195
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0126
