
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 85/85
  [Client 37] Round 1 | FedAvg | loss=1.1700
  [Client 96] Round 1 | FedAvg | loss=0.0221
  [Client 55] Round 1 | FedAvg | loss=0.9333
  [Client 80] Round 1 | FedAvg | loss=1.0769
  [Client 48] Round 1 | FedAvg | loss=0.9710
  [Client 65] Round 1 | FedAvg | loss=1.1658
  [Client 56] Round 1 | FedAvg | loss=1.1436
  [Client 45] Round 1 | FedAvg | loss=0.0182
  [Client 32] Round 1 | FedAvg | loss=1.1665
  [Client 29] Round 1 | FedAvg | loss=1.0215
  [Client 15] Round 1 | FedAvg | loss=0.8372
  [Client 85] Round 1 | FedAvg | loss=0.7184
  [Client 35] Round 1 | FedAvg | loss=0.9303
  [Client 13] Round 1 | FedAvg | loss=0.7466
  [Client 51] Round 1 | FedAvg | loss=1.1911
  [Client 93] Round 1 | FedAvg | loss=1.2194
  [Client 43] Round 1 | FedAvg | loss=1.0746
  [Client 89] Round 1 | FedAvg | loss=1.2854
  [Client  1] Round 1 | FedAvg | loss=1.1815
  [Client 26] Round 1 | FedAvg | loss=0.8397
  [Client 78] Round 1 | FedAvg | loss=0.0188
  [Client 31] Round 1 | FedAvg | loss=0.9723
  [Client 11] Round 1 | FedAvg | loss=1.0336
  [Client 84] Round 1 | FedAvg | loss=1.1546
  [Client 46] Round 1 | FedAvg | loss=1.3056
  [Client 75] Round 1 | FedAvg | loss=1.1384
  [Client  2] Round 1 | FedAvg | loss=0.7904
  [Client 64] Round 1 | FedAvg | loss=0.8289
  [Client 41] Round 1 | FedAvg | loss=0.7439
  [Client 98] Round 1 | FedAvg | loss=1.0241
  [Client 77] Round 1 | FedAvg | loss=0.0205
  [Client 61] Round 1 | FedAvg | loss=1.1828
  [Client 39] Round 1 | FedAvg | loss=0.9814
  [Client 54] Round 1 | FedAvg | loss=1.3060
  [Client 60] Round 1 | FedAvg | loss=0.7139
  [Client  4] Round 1 | FedAvg | loss=1.1990
  [Client 69] Round 1 | FedAvg | loss=1.0980
  [Client 66] Round 1 | FedAvg | loss=1.0341
  [Client 16] Round 1 | FedAvg | loss=0.9132
  [Client 73] Round 1 | FedAvg | loss=0.8987
  [Client 57] Round 1 | FedAvg | loss=0.7584
  [Client 87] Round 1 | FedAvg | loss=1.0659
  [Client 74] Round 1 | FedAvg | loss=1.1241
  [Client 24] Round 1 | FedAvg | loss=1.3053
  [Client 30] Round 1 | FedAvg | loss=1.4083
  [Client 67] Round 1 | FedAvg | loss=0.8056
  [Client 91] Round 1 | FedAvg | loss=0.9996
  [Client 34] Round 1 | FedAvg | loss=1.2121
  [Client 19] Round 1 | FedAvg | loss=1.1351
  [Client  9] Round 1 | FedAvg | loss=0.9343
  [Client 86] Round 1 | FedAvg | loss=1.0167
  [Client 52] Round 1 | FedAvg | loss=1.0280
  [Client 18] Round 1 | FedAvg | loss=0.9593
  [Client 47] Round 1 | FedAvg | loss=1.2114
  [Client 49] Round 1 | FedAvg | loss=1.1877
  [Client 10] Round 1 | FedAvg | loss=1.9697
  [Client 68] Round 1 | FedAvg | loss=0.9270
  [Client 36] Round 1 | FedAvg | loss=0.7357
  [Client 28] Round 1 | FedAvg | loss=1.0968
  [Client 83] Round 1 | FedAvg | loss=1.0280
  [Client 50] Round 1 | FedAvg | loss=1.1765
  [Client  6] Round 1 | FedAvg | loss=0.7925
  [Client 17] Round 1 | FedAvg | loss=0.9818
  [Client 97] Round 1 | FedAvg | loss=1.0124
  [Client 53] Round 1 | FedAvg | loss=1.7679
  [Client 20] Round 1 | FedAvg | loss=1.4391
  [Client 72] Round 1 | FedAvg | loss=1.0818
  [Client 79] Round 1 | FedAvg | loss=0.0202
  [Client  7] Round 1 | FedAvg | loss=1.2095
  [Client 70] Round 1 | FedAvg | loss=1.1748
  [Client 92] Round 1 | FedAvg | loss=1.1105
  [Client 25] Round 1 | FedAvg | loss=0.7861
  [Client 88] Round 1 | FedAvg | loss=0.0181
  [Client  3] Round 1 | FedAvg | loss=1.3443
  [Client 44] Round 1 | FedAvg | loss=0.9415
  [Client 42] Round 1 | FedAvg | loss=1.1353
  [Client 62] Round 1 | FedAvg | loss=1.0208
  [Client  5] Round 1 | FedAvg | loss=1.2298
  [Client 90] Round 1 | FedAvg | loss=0.8115
  [Client  8] Round 1 | FedAvg | loss=1.1495
  [Client 82] Round 1 | FedAvg | loss=0.9709
  [Client 21] Round 1 | FedAvg | loss=0.0249
  [Client 12] Round 1 | FedAvg | loss=0.5496
  [Client 27] Round 1 | FedAvg | loss=0.8968
  [Client 94] Round 1 | FedAvg | loss=0.9247
  [Edge 0] G1 | E1 | loss=0.9712
  [Edge 0] G1 | E2 | Selected 85/85
  [Client 80] Round 1 | FedAvg | loss=0.7374
  [Client 82] Round 1 | FedAvg | loss=0.7293
  [Client 89] Round 1 | FedAvg | loss=0.8664
  [Client  7] Round 1 | FedAvg | loss=0.7245
  [Client 43] Round 1 | FedAvg | loss=0.9190
  [Client 24] Round 1 | FedAvg | loss=0.8426
  [Client 67] Round 1 | FedAvg | loss=0.5934
  [Client 28] Round 1 | FedAvg | loss=0.9425
  [Client 10] Round 1 | FedAvg | loss=0.9281
  [Client 60] Round 1 | FedAvg | loss=0.8484
  [Client 30] Round 1 | FedAvg | loss=0.8735
  [Client  3] Round 1 | FedAvg | loss=0.8185
  [Client 88] Round 1 | FedAvg | loss=0.1324
  [Client 65] Round 1 | FedAvg | loss=0.8810
  [Client 31] Round 1 | FedAvg | loss=0.9795
  [Client 77] Round 1 | FedAvg | loss=0.1560
  [Client 48] Round 1 | FedAvg | loss=0.8501
  [Client  4] Round 1 | FedAvg | loss=0.8040
  [Client 83] Round 1 | FedAvg | loss=0.7948
  [Client 61] Round 1 | FedAvg | loss=0.7895
  [Client 53] Round 1 | FedAvg | loss=0.7956
  [Client 49] Round 1 | FedAvg | loss=0.8117
  [Client 57] Round 1 | FedAvg | loss=0.8724
  [Client 74] Round 1 | FedAvg | loss=0.8711
  [Client 68] Round 1 | FedAvg | loss=0.7119
  [Client 29] Round 1 | FedAvg | loss=0.8386
  [Client 56] Round 1 | FedAvg | loss=0.8927
  [Client 35] Round 1 | FedAvg | loss=0.8108
  [Client 46] Round 1 | FedAvg | loss=0.8518
  [Client 73] Round 1 | FedAvg | loss=0.8688
  [Client 51] Round 1 | FedAvg | loss=0.9227
  [Client 64] Round 1 | FedAvg | loss=0.6686
  [Client  6] Round 1 | FedAvg | loss=0.7763
  [Client 91] Round 1 | FedAvg | loss=0.8447
  [Client 36] Round 1 | FedAvg | loss=0.7859
  [Client 41] Round 1 | FedAvg | loss=0.8793
  [Client 11] Round 1 | FedAvg | loss=0.7439
  [Client 96] Round 1 | FedAvg | loss=0.1031
  [Client 72] Round 1 | FedAvg | loss=0.6211
  [Client 39] Round 1 | FedAvg | loss=0.9525
  [Client 47] Round 1 | FedAvg | loss=0.8804
  [Client 32] Round 1 | FedAvg | loss=0.9098
  [Client 21] Round 1 | FedAvg | loss=0.1075
  [Client 44] Round 1 | FedAvg | loss=0.8450
  [Client 52] Round 1 | FedAvg | loss=0.8449
  [Client 55] Round 1 | FedAvg | loss=0.7585
  [Client 85] Round 1 | FedAvg | loss=0.9842
  [Client 69] Round 1 | FedAvg | loss=0.8574
  [Client  8] Round 1 | FedAvg | loss=0.9583
  [Client 27] Round 1 | FedAvg | loss=0.9709
  [Client 97] Round 1 | FedAvg | loss=0.7296
  [Client 54] Round 1 | FedAvg | loss=0.9458
  [Client 37] Round 1 | FedAvg | loss=0.8360
  [Client  5] Round 1 | FedAvg | loss=0.6910
  [Client 93] Round 1 | FedAvg | loss=0.8952
  [Client 92] Round 1 | FedAvg | loss=0.8804
  [Client 70] Round 1 | FedAvg | loss=0.9071
  [Client 16] Round 1 | FedAvg | loss=0.8031
  [Client 34] Round 1 | FedAvg | loss=0.8995
  [Client 20] Round 1 | FedAvg | loss=0.9079
  [Client 45] Round 1 | FedAvg | loss=0.1674
  [Client 19] Round 1 | FedAvg | loss=0.8417
  [Client 25] Round 1 | FedAvg | loss=0.7261
  [Client 66] Round 1 | FedAvg | loss=0.6805
  [Client 78] Round 1 | FedAvg | loss=0.1644
  [Client 90] Round 1 | FedAvg | loss=0.6910
  [Client 12] Round 1 | FedAvg | loss=0.9799
  [Client  1] Round 1 | FedAvg | loss=0.8246
  [Client 26] Round 1 | FedAvg | loss=0.7420
  [Client 86] Round 1 | FedAvg | loss=0.9599
  [Client  2] Round 1 | FedAvg | loss=0.7829
  [Client 62] Round 1 | FedAvg | loss=0.8425
  [Client 75] Round 1 | FedAvg | loss=0.9496
  [Client 18] Round 1 | FedAvg | loss=0.8256
  [Client 94] Round 1 | FedAvg | loss=0.8991
  [Client 98] Round 1 | FedAvg | loss=0.7854
  [Client 42] Round 1 | FedAvg | loss=0.7853
  [Client 13] Round 1 | FedAvg | loss=0.8072
  [Client 17] Round 1 | FedAvg | loss=0.8928
  [Client 87] Round 1 | FedAvg | loss=0.8619
  [Client  9] Round 1 | FedAvg | loss=0.9030
  [Client 15] Round 1 | FedAvg | loss=0.7841
  [Client 79] Round 1 | FedAvg | loss=0.1742
  [Client 84] Round 1 | FedAvg | loss=0.9010
  [Client 50] Round 1 | FedAvg | loss=0.9396
  [Edge 0] G1 | E2 | loss=0.7807
  [Edge 0] G1 | E3 | Selected 85/85
  [Client 55] Round 1 | FedAvg | loss=0.6861
  [Client 57] Round 1 | FedAvg | loss=0.5731
  [Client 98] Round 1 | FedAvg | loss=0.6607
  [Client 39] Round 1 | FedAvg | loss=0.6759
  [Client 88] Round 1 | FedAvg | loss=0.1420
  [Client 77] Round 1 | FedAvg | loss=0.1457
  [Client 28] Round 1 | FedAvg | loss=0.7865
  [Client  6] Round 1 | FedAvg | loss=0.6548
  [Client 73] Round 1 | FedAvg | loss=0.6747
  [Client 70] Round 1 | FedAvg | loss=0.7707
  [Client 74] Round 1 | FedAvg | loss=0.8117
  [Client 64] Round 1 | FedAvg | loss=0.7759
  [Client 42] Round 1 | FedAvg | loss=0.6693
  [Client  5] Round 1 | FedAvg | loss=0.6753
  [Client 36] Round 1 | FedAvg | loss=0.6923
  [Client 86] Round 1 | FedAvg | loss=0.7849
  [Client 91] Round 1 | FedAvg | loss=0.8196
  [Client 48] Round 1 | FedAvg | loss=0.6916
  [Client 32] Round 1 | FedAvg | loss=0.7976
  [Client 69] Round 1 | FedAvg | loss=0.8143
  [Client 49] Round 1 | FedAvg | loss=0.8481
  [Client 24] Round 1 | FedAvg | loss=0.7188
  [Client 12] Round 1 | FedAvg | loss=0.7816
  [Client 47] Round 1 | FedAvg | loss=0.9319
  [Client  8] Round 1 | FedAvg | loss=0.7664
  [Client 20] Round 1 | FedAvg | loss=0.8419
  [Client 94] Round 1 | FedAvg | loss=0.8159
  [Client 43] Round 1 | FedAvg | loss=0.7716
  [Client 56] Round 1 | FedAvg | loss=0.8048
  [Client 65] Round 1 | FedAvg | loss=0.7361
  [Client 54] Round 1 | FedAvg | loss=0.7892
  [Client 17] Round 1 | FedAvg | loss=0.6190
  [Client 29] Round 1 | FedAvg | loss=0.9026
  [Client 97] Round 1 | FedAvg | loss=0.5927
  [Client 66] Round 1 | FedAvg | loss=0.6131
  [Client 26] Round 1 | FedAvg | loss=0.7527
  [Client 11] Round 1 | FedAvg | loss=0.7629
  [Client 25] Round 1 | FedAvg | loss=0.6936
  [Client 60] Round 1 | FedAvg | loss=0.8372
  [Client  7] Round 1 | FedAvg | loss=0.7460
  [Client 10] Round 1 | FedAvg | loss=0.8489
  [Client 27] Round 1 | FedAvg | loss=0.5792
  [Client 75] Round 1 | FedAvg | loss=0.6783
  [Client 13] Round 1 | FedAvg | loss=0.5161
  [Client 30] Round 1 | FedAvg | loss=0.8249
  [Client 61] Round 1 | FedAvg | loss=0.6966
  [Client 82] Round 1 | FedAvg | loss=0.6670
  [Client 34] Round 1 | FedAvg | loss=0.8194
  [Client 89] Round 1 | FedAvg | loss=0.7255
  [Client  4] Round 1 | FedAvg | loss=0.6680
  [Client 68] Round 1 | FedAvg | loss=0.6206
  [Client 18] Round 1 | FedAvg | loss=0.7195
  [Client 15] Round 1 | FedAvg | loss=0.6194
  [Client  3] Round 1 | FedAvg | loss=0.6828
  [Client  2] Round 1 | FedAvg | loss=0.6714
  [Client 85] Round 1 | FedAvg | loss=0.8633
  [Client 44] Round 1 | FedAvg | loss=0.7851
  [Client 46] Round 1 | FedAvg | loss=0.8149
  [Client 41] Round 1 | FedAvg | loss=0.6067
  [Client 31] Round 1 | FedAvg | loss=0.7369
  [Client 52] Round 1 | FedAvg | loss=0.7895
  [Client 35] Round 1 | FedAvg | loss=0.8036
  [Client  9] Round 1 | FedAvg | loss=0.7003
  [Client 96] Round 1 | FedAvg | loss=0.1420
  [Client 84] Round 1 | FedAvg | loss=0.8399
  [Client 62] Round 1 | FedAvg | loss=0.6866
  [Client 53] Round 1 | FedAvg | loss=0.6088
  [Client 87] Round 1 | FedAvg | loss=0.8130
  [Client  1] Round 1 | FedAvg | loss=0.5274
  [Client 83] Round 1 | FedAvg | loss=0.6203
  [Client 45] Round 1 | FedAvg | loss=0.1405
  [Client 21] Round 1 | FedAvg | loss=0.1364
  [Client 50] Round 1 | FedAvg | loss=0.8029
  [Client 72] Round 1 | FedAvg | loss=0.6382
  [Client 78] Round 1 | FedAvg | loss=0.1411
  [Client 80] Round 1 | FedAvg | loss=0.7686
  [Client 79] Round 1 | FedAvg | loss=0.1418
  [Client 93] Round 1 | FedAvg | loss=0.8414
  [Client 92] Round 1 | FedAvg | loss=0.8772
  [Client 16] Round 1 | FedAvg | loss=0.7158
  [Client 51] Round 1 | FedAvg | loss=0.7576
  [Client 90] Round 1 | FedAvg | loss=0.7509
  [Client 67] Round 1 | FedAvg | loss=0.5777
  [Client 19] Round 1 | FedAvg | loss=0.8194
  [Client 37] Round 1 | FedAvg | loss=0.8006
  [Edge 0] G1 | E3 | loss=0.6849
  [Edge 0] G1 | E4 | Selected 85/85
  [Client 86] Round 1 | FedAvg | loss=0.6478
  [Client 96] Round 1 | FedAvg | loss=0.0921
  [Client 32] Round 1 | FedAvg | loss=0.7747
  [Client 24] Round 1 | FedAvg | loss=0.5230
  [Client 64] Round 1 | FedAvg | loss=0.4994
  [Client 88] Round 1 | FedAvg | loss=0.0943
  [Client 84] Round 1 | FedAvg | loss=0.7787
  [Client 90] Round 1 | FedAvg | loss=0.5623
  [Client  4] Round 1 | FedAvg | loss=0.6265
  [Client 61] Round 1 | FedAvg | loss=0.6054
  [Client 13] Round 1 | FedAvg | loss=0.5982
  [Client 78] Round 1 | FedAvg | loss=0.0938
  [Client 50] Round 1 | FedAvg | loss=0.7176
  [Client 20] Round 1 | FedAvg | loss=0.7678
  [Client 65] Round 1 | FedAvg | loss=0.7177
  [Client 35] Round 1 | FedAvg | loss=0.7337
  [Client 53] Round 1 | FedAvg | loss=0.5099
  [Client  2] Round 1 | FedAvg | loss=0.5822
  [Client 82] Round 1 | FedAvg | loss=0.5993
  [Client 15] Round 1 | FedAvg | loss=0.5188
  [Client 97] Round 1 | FedAvg | loss=0.5917
  [Client 56] Round 1 | FedAvg | loss=0.7818
  [Client 70] Round 1 | FedAvg | loss=0.6735
  [Client 68] Round 1 | FedAvg | loss=0.5057
  [Client 12] Round 1 | FedAvg | loss=0.5584
  [Client 18] Round 1 | FedAvg | loss=0.6504
  [Client 89] Round 1 | FedAvg | loss=0.6543
  [Client 75] Round 1 | FedAvg | loss=0.5617
  [Client 66] Round 1 | FedAvg | loss=0.5397
  [Client 51] Round 1 | FedAvg | loss=0.7366
