
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 74/74
  [Client 58] Round 1 | FedAvg | loss=1.1710
  [Client  0] Round 1 | FedAvg | loss=1.1690
  [Client  4] Round 1 | FedAvg | loss=1.4101
  [Client  5] Round 1 | FedAvg | loss=0.9972
  [Client 40] Round 1 | FedAvg | loss=1.3889
  [Client 66] Round 1 | FedAvg | loss=1.3675
  [Client 36] Round 1 | FedAvg | loss=1.0000
  [Client 97] Round 1 | FedAvg | loss=1.1376
  [Client 32] Round 1 | FedAvg | loss=1.6016
  [Client 86] Round 1 | FedAvg | loss=1.2386
  [Client 74] Round 1 | FedAvg | loss=1.1259
  [Client 14] Round 1 | FedAvg | loss=1.0302
  [Client 63] Round 1 | FedAvg | loss=1.7844
  [Client 18] Round 1 | FedAvg | loss=1.9412
  [Client 80] Round 1 | FedAvg | loss=1.4220
  [Client 31] Round 1 | FedAvg | loss=1.5775
  [Client 88] Round 1 | FedAvg | loss=1.3030
  [Client 52] Round 1 | FedAvg | loss=1.4727
  [Client  3] Round 1 | FedAvg | loss=2.4410
  [Client 56] Round 1 | FedAvg | loss=0.7966
  [Client 39] Round 1 | FedAvg | loss=0.8041
  [Client 15] Round 1 | FedAvg | loss=0.8898
  [Client  8] Round 1 | FedAvg | loss=0.9763
  [Client 87] Round 1 | FedAvg | loss=0.8876
  [Client 60] Round 1 | FedAvg | loss=0.9967
  [Client 75] Round 1 | FedAvg | loss=1.5543
  [Client 17] Round 1 | FedAvg | loss=1.5062
  [Client 27] Round 1 | FedAvg | loss=0.8933
  [Client 62] Round 1 | FedAvg | loss=2.6438
  [Client 91] Round 1 | FedAvg | loss=0.9937
  [Client 54] Round 1 | FedAvg | loss=1.2294
  [Client 50] Round 1 | FedAvg | loss=2.9202
  [Client 81] Round 1 | FedAvg | loss=0.8773
  [Client  2] Round 1 | FedAvg | loss=0.8872
  [Client 71] Round 1 | FedAvg | loss=0.8256
  [Client 78] Round 1 | FedAvg | loss=1.0567
  [Client 77] Round 1 | FedAvg | loss=1.1196
  [Client 51] Round 1 | FedAvg | loss=0.8905
  [Client  9] Round 1 | FedAvg | loss=1.2804
  [Client 64] Round 1 | FedAvg | loss=0.9392
  [Client  7] Round 1 | FedAvg | loss=6.5850
  [Client 95] Round 1 | FedAvg | loss=1.0175
  [Client 34] Round 1 | FedAvg | loss=0.8688
  [Client 94] Round 1 | FedAvg | loss=1.3215
  [Client 76] Round 1 | FedAvg | loss=1.4712
  [Client 10] Round 1 | FedAvg | loss=1.3967
  [Client 11] Round 1 | FedAvg | loss=0.8245
  [Client 47] Round 1 | FedAvg | loss=0.8089
  [Client 67] Round 1 | FedAvg | loss=1.5330
  [Client 24] Round 1 | FedAvg | loss=1.7256
  [Client 19] Round 1 | FedAvg | loss=1.3054
  [Client 25] Round 1 | FedAvg | loss=0.0319
  [Client  6] Round 1 | FedAvg | loss=1.4916
  [Client 65] Round 1 | FedAvg | loss=2.0172
  [Client 42] Round 1 | FedAvg | loss=0.0450
  [Client 98] Round 1 | FedAvg | loss=1.7826
  [Client 23] Round 1 | FedAvg | loss=1.6448
  [Client 57] Round 1 | FedAvg | loss=1.2261
  [Client 44] Round 1 | FedAvg | loss=1.6633
  [Client 33] Round 1 | FedAvg | loss=1.0377
  [Client 69] Round 1 | FedAvg | loss=1.4118
  [Client 41] Round 1 | FedAvg | loss=1.4982
  [Client 70] Round 1 | FedAvg | loss=0.8932
  [Client 28] Round 1 | FedAvg | loss=1.1973
  [Client 89] Round 1 | FedAvg | loss=0.6684
  [Client 37] Round 1 | FedAvg | loss=1.5176
  [Client 21] Round 1 | FedAvg | loss=0.9832
  [Client  1] Round 1 | FedAvg | loss=0.7680
  [Client 68] Round 1 | FedAvg | loss=1.2327
  [Client 43] Round 1 | FedAvg | loss=0.7477
  [Client 30] Round 1 | FedAvg | loss=1.2976
  [Client 16] Round 1 | FedAvg | loss=1.2742
  [Client 26] Round 1 | FedAvg | loss=0.8240
  [Client 59] Round 1 | FedAvg | loss=0.9581
  [Edge 0] G1 | E1 | loss=1.3057
  [Edge 0] G1 | E2 | Selected 74/74
  [Client 19] Round 1 | FedAvg | loss=1.2101
  [Client 34] Round 1 | FedAvg | loss=1.2471
  [Client 18] Round 1 | FedAvg | loss=0.8766
  [Client  3] Round 1 | FedAvg | loss=1.0824
  [Client 28] Round 1 | FedAvg | loss=1.2192
  [Client 74] Round 1 | FedAvg | loss=1.1992
  [Client 39] Round 1 | FedAvg | loss=1.2564
  [Client 52] Round 1 | FedAvg | loss=1.1050
  [Client 81] Round 1 | FedAvg | loss=0.9818
  [Client  8] Round 1 | FedAvg | loss=1.1678
  [Client 27] Round 1 | FedAvg | loss=1.2283
  [Client 44] Round 1 | FedAvg | loss=1.3278
  [Client 11] Round 1 | FedAvg | loss=1.0382
  [Client  0] Round 1 | FedAvg | loss=1.2155
  [Client 43] Round 1 | FedAvg | loss=1.1084
  [Client 54] Round 1 | FedAvg | loss=1.2400
  [Client 62] Round 1 | FedAvg | loss=1.2467
  [Client  4] Round 1 | FedAvg | loss=1.2446
  [Client  1] Round 1 | FedAvg | loss=1.1016
  [Client 31] Round 1 | FedAvg | loss=0.9699
  [Client 63] Round 1 | FedAvg | loss=1.1852
  [Client 57] Round 1 | FedAvg | loss=1.0039
  [Client 15] Round 1 | FedAvg | loss=1.0699
  [Client 17] Round 1 | FedAvg | loss=1.2468
  [Client 97] Round 1 | FedAvg | loss=1.0933
  [Client 98] Round 1 | FedAvg | loss=1.2242
  [Client 69] Round 1 | FedAvg | loss=1.1976
  [Client 51] Round 1 | FedAvg | loss=1.2274
  [Client 70] Round 1 | FedAvg | loss=1.2719
  [Client 86] Round 1 | FedAvg | loss=1.0771
  [Client 16] Round 1 | FedAvg | loss=1.0977
  [Client 47] Round 1 | FedAvg | loss=1.0932
  [Client 88] Round 1 | FedAvg | loss=1.2314
  [Client 60] Round 1 | FedAvg | loss=0.9896
  [Client  7] Round 1 | FedAvg | loss=1.3613
  [Client  2] Round 1 | FedAvg | loss=1.2614
  [Client 95] Round 1 | FedAvg | loss=1.2520
  [Client 23] Round 1 | FedAvg | loss=1.1361
  [Client 66] Round 1 | FedAvg | loss=1.1772
  [Client 58] Round 1 | FedAvg | loss=1.0186
  [Client 65] Round 1 | FedAvg | loss=1.2242
  [Client 67] Round 1 | FedAvg | loss=1.1560
  [Client 71] Round 1 | FedAvg | loss=1.1246
  [Client 36] Round 1 | FedAvg | loss=0.9047
  [Client 41] Round 1 | FedAvg | loss=1.1775
  [Client 56] Round 1 | FedAvg | loss=1.2219
  [Client 40] Round 1 | FedAvg | loss=1.2510
  [Client 78] Round 1 | FedAvg | loss=0.8611
  [Client 77] Round 1 | FedAvg | loss=1.1181
  [Client 10] Round 1 | FedAvg | loss=1.1458
  [Client 91] Round 1 | FedAvg | loss=1.1958
  [Client 42] Round 1 | FedAvg | loss=0.4615
  [Client 76] Round 1 | FedAvg | loss=1.2308
  [Client  5] Round 1 | FedAvg | loss=1.1917
  [Client 75] Round 1 | FedAvg | loss=1.1939
  [Client 59] Round 1 | FedAvg | loss=1.1464
  [Client  6] Round 1 | FedAvg | loss=1.0800
  [Client 33] Round 1 | FedAvg | loss=1.1335
  [Client 87] Round 1 | FedAvg | loss=1.2334
  [Client 30] Round 1 | FedAvg | loss=1.1200
  [Client 37] Round 1 | FedAvg | loss=1.1632
  [Client 24] Round 1 | FedAvg | loss=1.1210
  [Client 21] Round 1 | FedAvg | loss=1.0991
  [Client 32] Round 1 | FedAvg | loss=1.1984
  [Client 80] Round 1 | FedAvg | loss=1.2300
  [Client 64] Round 1 | FedAvg | loss=1.0534
  [Client 89] Round 1 | FedAvg | loss=1.0750
  [Client 50] Round 1 | FedAvg | loss=1.2191
  [Client 14] Round 1 | FedAvg | loss=1.2446
  [Client 26] Round 1 | FedAvg | loss=1.2307
  [Client 25] Round 1 | FedAvg | loss=0.4761
  [Client 94] Round 1 | FedAvg | loss=1.2079
  [Client  9] Round 1 | FedAvg | loss=1.2379
  [Client 68] Round 1 | FedAvg | loss=1.0083
  [Edge 0] G1 | E2 | loss=1.1354
  [Edge 0] G1 | E3 | Selected 74/74
  [Client 42] Round 1 | FedAvg | loss=0.2606
  [Client  3] Round 1 | FedAvg | loss=0.9248
  [Client 68] Round 1 | FedAvg | loss=0.8963
  [Client 30] Round 1 | FedAvg | loss=1.0772
  [Client 15] Round 1 | FedAvg | loss=0.8055
  [Client 39] Round 1 | FedAvg | loss=0.9363
  [Client 87] Round 1 | FedAvg | loss=0.7993
  [Client 54] Round 1 | FedAvg | loss=0.8300
  [Client  1] Round 1 | FedAvg | loss=0.8279
  [Client 76] Round 1 | FedAvg | loss=0.8614
  [Client 40] Round 1 | FedAvg | loss=0.8041
  [Client  0] Round 1 | FedAvg | loss=0.7317
  [Client 47] Round 1 | FedAvg | loss=0.8299
  [Client 97] Round 1 | FedAvg | loss=0.9080
  [Client 25] Round 1 | FedAvg | loss=0.2557
  [Client 51] Round 1 | FedAvg | loss=0.7470
  [Client 27] Round 1 | FedAvg | loss=0.8958
  [Client 67] Round 1 | FedAvg | loss=0.9617
  [Client 41] Round 1 | FedAvg | loss=0.8911
  [Client 91] Round 1 | FedAvg | loss=0.9507
  [Client 26] Round 1 | FedAvg | loss=0.8623
  [Client 21] Round 1 | FedAvg | loss=0.8055
  [Client 16] Round 1 | FedAvg | loss=0.9819
  [Client 14] Round 1 | FedAvg | loss=0.9729
  [Client  8] Round 1 | FedAvg | loss=0.9027
  [Client 78] Round 1 | FedAvg | loss=0.6814
  [Client 19] Round 1 | FedAvg | loss=1.0144
  [Client 28] Round 1 | FedAvg | loss=0.9202
  [Client 70] Round 1 | FedAvg | loss=0.8946
  [Client 69] Round 1 | FedAvg | loss=0.9549
  [Client 44] Round 1 | FedAvg | loss=0.9323
  [Client 63] Round 1 | FedAvg | loss=0.9852
  [Client 75] Round 1 | FedAvg | loss=0.9604
  [Client 59] Round 1 | FedAvg | loss=0.9722
  [Client 50] Round 1 | FedAvg | loss=0.6202
  [Client 33] Round 1 | FedAvg | loss=0.8672
  [Client 10] Round 1 | FedAvg | loss=0.8938
  [Client  6] Round 1 | FedAvg | loss=0.8908
  [Client 98] Round 1 | FedAvg | loss=0.8399
