
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 74/74
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6471
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5968
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0450
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5846
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9045
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7885
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.4169
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8512
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0074
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0318
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6400
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0692
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1264
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5374
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1010
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8884
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2796
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0571
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.4842
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6481
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5730
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9659
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9923
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7372
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6427
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1300
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6652
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9117
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6935
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9300
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3933
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6234
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7162
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8304
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0143
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5324
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7884
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6667
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9484
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.4988
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6018
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7881
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9057
  [Client 94] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1356
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8651
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0276
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8575
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8579
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3322
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6777
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6310
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0360
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9209
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0324
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.0373
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7784
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0140
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7761
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.4836
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8863
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0353
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2230
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8163
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1952
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.5125
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9846
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6230
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7971
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7503
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6236
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0365
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6515
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8240
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9179
  [Edge 0] G1 | E1 | loss=0.8189
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 74/74
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1769
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1824
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9536
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6956
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0864
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0760
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8291
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3076
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8178
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0756
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0101
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9423
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9834
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2283
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9793
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1863
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9044
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3872
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9599
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8331
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1020
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1215
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8713
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9309
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9844
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9327
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1366
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8420
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9780
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9720
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9941
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7310
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1867
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9731
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6644
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1549
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3018
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1030
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0299
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9021
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1928
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1673
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5976
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8185
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0384
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0022
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0477
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6166
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0408
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0873
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2533
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.4522
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3228
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9076
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4356
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1872
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.5298
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1083
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8803
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9586
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9766
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8775
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0893
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2667
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2242
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1651
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1120
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0400
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3475
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9793
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2792
  [Client 94] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2120
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0661
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0682
  [Edge 0] G1 | E2 | loss=1.0389
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 74/74
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2644
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6915
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8674
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9677
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8432
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8208
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1191
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9669
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8218
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8663
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9644
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7200
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7238
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0853
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.2694
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7844
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8172
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9835
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9236
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1893
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8922
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7011
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9440
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.1778
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9582
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8695
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0914
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.9350
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.7990
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.8918
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0510
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2245
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2046
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.2710
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=0.6218
