
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 62/62
  [Client  8] Round 1 | FedAvg | loss=4.1554
  [Client 52] Round 1 | FedAvg | loss=4.2028
  [Client 56] Round 1 | FedAvg | loss=4.0434
  [Client 34] Round 1 | FedAvg | loss=4.2700
  [Client 74] Round 1 | FedAvg | loss=4.0751
  [Client 36] Round 1 | FedAvg | loss=3.9591
  [Client 37] Round 1 | FedAvg | loss=4.1453
  [Client 59] Round 1 | FedAvg | loss=4.0745
  [Client 82] Round 1 | FedAvg | loss=3.9458
  [Client 18] Round 1 | FedAvg | loss=4.0782
  [Client 23] Round 1 | FedAvg | loss=4.2052
  [Client 22] Round 1 | FedAvg | loss=4.1315
  [Client 12] Round 1 | FedAvg | loss=4.0410
  [Client 31] Round 1 | FedAvg | loss=4.2340
  [Client 21] Round 1 | FedAvg | loss=3.9775
  [Client 26] Round 1 | FedAvg | loss=3.9177
  [Client 47] Round 1 | FedAvg | loss=4.1567
  [Client 76] Round 1 | FedAvg | loss=4.1495
  [Client 87] Round 1 | FedAvg | loss=4.0626
  [Client 86] Round 1 | FedAvg | loss=4.0189
  [Client 11] Round 1 | FedAvg | loss=3.8152
  [Client  7] Round 1 | FedAvg | loss=4.3285
  [Client 77] Round 1 | FedAvg | loss=4.0231
  [Client 73] Round 1 | FedAvg | loss=4.1558
  [Client  2] Round 1 | FedAvg | loss=3.9492
  [Client 89] Round 1 | FedAvg | loss=4.1151
  [Client 44] Round 1 | FedAvg | loss=4.0522
  [Client 40] Round 1 | FedAvg | loss=3.9062
  [Client 60] Round 1 | FedAvg | loss=4.0823
  [Client 58] Round 1 | FedAvg | loss=4.1117
  [Client 57] Round 1 | FedAvg | loss=4.2572
  [Client 68] Round 1 | FedAvg | loss=4.0668
  [Client  6] Round 1 | FedAvg | loss=4.0773
  [Client  4] Round 1 | FedAvg | loss=4.1833
  [Client 35] Round 1 | FedAvg | loss=4.1874
  [Client 30] Round 1 | FedAvg | loss=3.8783
  [Client 41] Round 1 | FedAvg | loss=4.0785
  [Client 25] Round 1 | FedAvg | loss=4.0247
  [Client 79] Round 1 | FedAvg | loss=4.1855
  [Client 45] Round 1 | FedAvg | loss=4.1076
  [Client 14] Round 1 | FedAvg | loss=4.0327
  [Client 51] Round 1 | FedAvg | loss=4.0263
  [Client 66] Round 1 | FedAvg | loss=4.0653
  [Client 27] Round 1 | FedAvg | loss=4.0917
  [Client 63] Round 1 | FedAvg | loss=4.1378
  [Client 69] Round 1 | FedAvg | loss=4.3190
  [Client 85] Round 1 | FedAvg | loss=4.1580
  [Client  1] Round 1 | FedAvg | loss=4.2778
  [Client 99] Round 1 | FedAvg | loss=4.1933
  [Client 83] Round 1 | FedAvg | loss=4.0748
  [Client 13] Round 1 | FedAvg | loss=4.1478
  [Client 24] Round 1 | FedAvg | loss=4.1792
  [Client 80] Round 1 | FedAvg | loss=4.1963
  [Client 95] Round 1 | FedAvg | loss=4.1100
  [Client 38] Round 1 | FedAvg | loss=4.1801
  [Client 43] Round 1 | FedAvg | loss=3.8490
  [Client 32] Round 1 | FedAvg | loss=4.2434
  [Client 72] Round 1 | FedAvg | loss=4.1995
  [Client  0] Round 1 | FedAvg | loss=4.1496
  [Client 46] Round 1 | FedAvg | loss=4.0079
  [Client 97] Round 1 | FedAvg | loss=3.8677
  [Client 53] Round 1 | FedAvg | loss=4.1130
  [Edge 0] G1 | E1 | loss=4.0924
  [Edge 0] G1 | E2 | Selected 62/62
  [Client 51] Round 1 | FedAvg | loss=4.1045
  [Client 79] Round 1 | FedAvg | loss=4.1314
  [Client 83] Round 1 | FedAvg | loss=4.0452
  [Client 13] Round 1 | FedAvg | loss=4.1677
  [Client 32] Round 1 | FedAvg | loss=3.9558
  [Client 82] Round 1 | FedAvg | loss=3.8647
  [Client  2] Round 1 | FedAvg | loss=4.0516
  [Client 76] Round 1 | FedAvg | loss=4.1132
  [Client 59] Round 1 | FedAvg | loss=3.9550
  [Client 89] Round 1 | FedAvg | loss=4.1241
  [Client 21] Round 1 | FedAvg | loss=4.0237
  [Client 12] Round 1 | FedAvg | loss=4.0394
  [Client 31] Round 1 | FedAvg | loss=4.0934
  [Client 57] Round 1 | FedAvg | loss=4.1981
  [Client  8] Round 1 | FedAvg | loss=4.1402
  [Client 66] Round 1 | FedAvg | loss=4.1469
  [Client 95] Round 1 | FedAvg | loss=4.1192
  [Client 40] Round 1 | FedAvg | loss=3.9943
  [Client 47] Round 1 | FedAvg | loss=4.0638
  [Client 43] Round 1 | FedAvg | loss=3.9930
  [Client 37] Round 1 | FedAvg | loss=4.0349
  [Client 73] Round 1 | FedAvg | loss=4.0810
  [Client 58] Round 1 | FedAvg | loss=4.1220
  [Client 36] Round 1 | FedAvg | loss=3.9583
  [Client 69] Round 1 | FedAvg | loss=4.3110
  [Client  7] Round 1 | FedAvg | loss=4.1905
  [Client  0] Round 1 | FedAvg | loss=4.0576
  [Client 80] Round 1 | FedAvg | loss=4.0740
  [Client 74] Round 1 | FedAvg | loss=4.0681
  [Client 52] Round 1 | FedAvg | loss=4.2452
  [Client 35] Round 1 | FedAvg | loss=4.1638
  [Client 46] Round 1 | FedAvg | loss=4.0715
  [Client 77] Round 1 | FedAvg | loss=4.0062
  [Client 22] Round 1 | FedAvg | loss=4.1480
  [Client 38] Round 1 | FedAvg | loss=3.9819
  [Client 34] Round 1 | FedAvg | loss=4.1097
  [Client 87] Round 1 | FedAvg | loss=4.1517
  [Client  4] Round 1 | FedAvg | loss=4.0528
  [Client 25] Round 1 | FedAvg | loss=4.0089
  [Client 18] Round 1 | FedAvg | loss=3.9813
  [Client 85] Round 1 | FedAvg | loss=4.2015
  [Client 63] Round 1 | FedAvg | loss=4.0387
  [Client 97] Round 1 | FedAvg | loss=3.8628
  [Client 41] Round 1 | FedAvg | loss=4.0481
  [Client 99] Round 1 | FedAvg | loss=4.2241
  [Client  6] Round 1 | FedAvg | loss=4.0886
  [Client 14] Round 1 | FedAvg | loss=4.0743
  [Client 23] Round 1 | FedAvg | loss=4.1265
  [Client 45] Round 1 | FedAvg | loss=4.1323
  [Client  1] Round 1 | FedAvg | loss=4.0509
  [Client 56] Round 1 | FedAvg | loss=4.0243
  [Client 44] Round 1 | FedAvg | loss=3.9898
  [Client 72] Round 1 | FedAvg | loss=4.1572
  [Client 68] Round 1 | FedAvg | loss=3.9970
  [Client 53] Round 1 | FedAvg | loss=3.9590
  [Client 26] Round 1 | FedAvg | loss=3.9751
  [Client 11] Round 1 | FedAvg | loss=3.9621
  [Client 27] Round 1 | FedAvg | loss=4.0250
  [Client 24] Round 1 | FedAvg | loss=4.1617
  [Client 86] Round 1 | FedAvg | loss=4.0175
  [Client 30] Round 1 | FedAvg | loss=3.8532
  [Client 60] Round 1 | FedAvg | loss=4.0501
  [Edge 0] G1 | E2 | loss=4.0664
  [Edge 0] G1 | E3 | Selected 62/62
  [Client  4] Round 1 | FedAvg | loss=4.0348
  [Client 30] Round 1 | FedAvg | loss=3.9350
  [Client 76] Round 1 | FedAvg | loss=4.1429
  [Client  7] Round 1 | FedAvg | loss=4.2789
  [Client 58] Round 1 | FedAvg | loss=4.0362
  [Client 18] Round 1 | FedAvg | loss=3.9996
  [Client 38] Round 1 | FedAvg | loss=4.1440
  [Client 79] Round 1 | FedAvg | loss=4.1317
  [Client 13] Round 1 | FedAvg | loss=4.2215
  [Client 14] Round 1 | FedAvg | loss=4.0506
  [Client 97] Round 1 | FedAvg | loss=3.9666
  [Client 25] Round 1 | FedAvg | loss=3.9844
  [Client 31] Round 1 | FedAvg | loss=4.2068
  [Client 74] Round 1 | FedAvg | loss=3.9815
  [Client 83] Round 1 | FedAvg | loss=4.1550
  [Client 21] Round 1 | FedAvg | loss=3.8551
  [Client 44] Round 1 | FedAvg | loss=4.0254
  [Client 52] Round 1 | FedAvg | loss=4.1695
  [Client  6] Round 1 | FedAvg | loss=4.0946
  [Client 73] Round 1 | FedAvg | loss=4.0428
  [Client 43] Round 1 | FedAvg | loss=3.9463
  [Client 63] Round 1 | FedAvg | loss=4.0740
  [Client 24] Round 1 | FedAvg | loss=4.1751
  [Client 66] Round 1 | FedAvg | loss=4.2015
  [Client 23] Round 1 | FedAvg | loss=4.1645
  [Client 95] Round 1 | FedAvg | loss=4.1614
  [Client 37] Round 1 | FedAvg | loss=3.9681
  [Client 59] Round 1 | FedAvg | loss=3.9280
  [Client 87] Round 1 | FedAvg | loss=4.0922
  [Client 36] Round 1 | FedAvg | loss=3.8559
  [Client 82] Round 1 | FedAvg | loss=3.9972
  [Client 68] Round 1 | FedAvg | loss=4.0210
  [Client 12] Round 1 | FedAvg | loss=4.0477
  [Client 89] Round 1 | FedAvg | loss=4.1733
  [Client 69] Round 1 | FedAvg | loss=4.2349
  [Client 99] Round 1 | FedAvg | loss=4.2791
  [Client 80] Round 1 | FedAvg | loss=4.0378
  [Client 40] Round 1 | FedAvg | loss=4.0809
  [Client  0] Round 1 | FedAvg | loss=4.0116
  [Client 11] Round 1 | FedAvg | loss=3.8970
  [Client 22] Round 1 | FedAvg | loss=4.1824
  [Client  1] Round 1 | FedAvg | loss=4.0721
  [Client 41] Round 1 | FedAvg | loss=4.1355
  [Client 85] Round 1 | FedAvg | loss=4.2316
  [Client 34] Round 1 | FedAvg | loss=4.1755
  [Client 47] Round 1 | FedAvg | loss=4.0653
  [Client 57] Round 1 | FedAvg | loss=4.1728
  [Client 56] Round 1 | FedAvg | loss=3.9962
  [Client 46] Round 1 | FedAvg | loss=3.9971
  [Client 32] Round 1 | FedAvg | loss=3.9569
  [Client 53] Round 1 | FedAvg | loss=3.9804
  [Client 26] Round 1 | FedAvg | loss=4.0074
  [Client  2] Round 1 | FedAvg | loss=4.0211
  [Client 77] Round 1 | FedAvg | loss=3.9477
  [Client 86] Round 1 | FedAvg | loss=4.0470
  [Client 51] Round 1 | FedAvg | loss=4.0194
  [Client 60] Round 1 | FedAvg | loss=3.9216
  [Client 27] Round 1 | FedAvg | loss=3.9535
  [Client 45] Round 1 | FedAvg | loss=4.1359
  [Client 35] Round 1 | FedAvg | loss=3.9886
  [Client 72] Round 1 | FedAvg | loss=4.0262
  [Client  8] Round 1 | FedAvg | loss=3.9847
  [Edge 0] G1 | E3 | loss=4.0594
  [Edge 0] G1 | E4 | Selected 62/62
  [Client 76] Round 1 | FedAvg | loss=4.0240
  [Client 46] Round 1 | FedAvg | loss=3.9808
  [Client 66] Round 1 | FedAvg | loss=3.9981
  [Client 95] Round 1 | FedAvg | loss=4.0696
  [Client 47] Round 1 | FedAvg | loss=3.8717
  [Client 58] Round 1 | FedAvg | loss=3.9838
  [Client 30] Round 1 | FedAvg | loss=3.7845
  [Client 77] Round 1 | FedAvg | loss=3.8396
  [Client 18] Round 1 | FedAvg | loss=3.8563
  [Client 63] Round 1 | FedAvg | loss=4.0241
  [Client 40] Round 1 | FedAvg | loss=3.8584
  [Client 26] Round 1 | FedAvg | loss=3.8623
  [Client 24] Round 1 | FedAvg | loss=4.1155
  [Client  8] Round 1 | FedAvg | loss=3.9443
  [Client 27] Round 1 | FedAvg | loss=3.9156
  [Client 44] Round 1 | FedAvg | loss=3.8671
  [Client 73] Round 1 | FedAvg | loss=3.8747
  [Client 87] Round 1 | FedAvg | loss=4.0400
  [Client  4] Round 1 | FedAvg | loss=4.0328
  [Client  6] Round 1 | FedAvg | loss=3.9703
  [Client 32] Round 1 | FedAvg | loss=3.9071
  [Client  7] Round 1 | FedAvg | loss=4.1009
  [Client  0] Round 1 | FedAvg | loss=3.7713
  [Client 82] Round 1 | FedAvg | loss=3.8376
