
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 50/50
  [Client 64] Round 1 | FedAvg | loss=3.2495
  [Client 99] Round 1 | FedAvg | loss=3.4397
  [Client 91] Round 1 | FedAvg | loss=3.2662
  [Client 51] Round 1 | FedAvg | loss=3.2416
  [Client 93] Round 1 | FedAvg | loss=3.0481
  [Client 98] Round 1 | FedAvg | loss=3.0316
  [Client 33] Round 1 | FedAvg | loss=3.0550
  [Client 34] Round 1 | FedAvg | loss=3.0689
  [Client 55] Round 1 | FedAvg | loss=3.3351
  [Client 71] Round 1 | FedAvg | loss=3.7562
  [Client 48] Round 1 | FedAvg | loss=3.3117
  [Client 66] Round 1 | FedAvg | loss=3.0959
  [Client 11] Round 1 | FedAvg | loss=3.2634
  [Client  0] Round 1 | FedAvg | loss=2.9388
  [Client 20] Round 1 | FedAvg | loss=3.2492
  [Client 92] Round 1 | FedAvg | loss=3.4631
  [Client 18] Round 1 | FedAvg | loss=3.1738
  [Client 15] Round 1 | FedAvg | loss=3.1346
  [Client 76] Round 1 | FedAvg | loss=3.8879
  [Client 43] Round 1 | FedAvg | loss=3.2740
  [Client 58] Round 1 | FedAvg | loss=3.2168
  [Client  3] Round 1 | FedAvg | loss=3.6071
  [Client 67] Round 1 | FedAvg | loss=3.2693
  [Client 29] Round 1 | FedAvg | loss=3.0384
  [Client 70] Round 1 | FedAvg | loss=3.1538
  [Client 35] Round 1 | FedAvg | loss=3.4174
  [Client 69] Round 1 | FedAvg | loss=3.2086
  [Client 95] Round 1 | FedAvg | loss=2.7726
  [Client  4] Round 1 | FedAvg | loss=3.4845
  [Client 44] Round 1 | FedAvg | loss=3.3223
  [Client 68] Round 1 | FedAvg | loss=3.3056
  [Client 88] Round 1 | FedAvg | loss=3.1225
  [Client 90] Round 1 | FedAvg | loss=3.0061
  [Client 12] Round 1 | FedAvg | loss=3.2180
  [Client 49] Round 1 | FedAvg | loss=3.1145
  [Client 97] Round 1 | FedAvg | loss=2.9047
  [Client 14] Round 1 | FedAvg | loss=3.2643
  [Client 73] Round 1 | FedAvg | loss=3.9226
  [Client  6] Round 1 | FedAvg | loss=2.7683
  [Client 83] Round 1 | FedAvg | loss=2.6974
  [Client 54] Round 1 | FedAvg | loss=2.7808
  [Client 61] Round 1 | FedAvg | loss=3.3048
  [Client 16] Round 1 | FedAvg | loss=3.3340
  [Client 38] Round 1 | FedAvg | loss=2.7747
  [Client 89] Round 1 | FedAvg | loss=2.7010
  [Client 65] Round 1 | FedAvg | loss=3.1544
  [Client 25] Round 1 | FedAvg | loss=2.9433
  [Client 81] Round 1 | FedAvg | loss=3.3183
  [Client 30] Round 1 | FedAvg | loss=2.9355
  [Client 23] Round 1 | FedAvg | loss=3.4670
  [Edge 0] G1 | E1 | loss=3.1708
  [Edge 0] G1 | E2 | Selected 50/50
  [Client 55] Round 1 | FedAvg | loss=3.2355
  [Client 83] Round 1 | FedAvg | loss=2.6753
  [Client 64] Round 1 | FedAvg | loss=3.2448
  [Client 35] Round 1 | FedAvg | loss=3.4580
  [Client 44] Round 1 | FedAvg | loss=3.3419
  [Client 25] Round 1 | FedAvg | loss=3.0096
  [Client 68] Round 1 | FedAvg | loss=3.3663
  [Client 54] Round 1 | FedAvg | loss=2.8834
  [Client 90] Round 1 | FedAvg | loss=3.0072
  [Client 91] Round 1 | FedAvg | loss=3.1389
  [Client 97] Round 1 | FedAvg | loss=3.0737
  [Client 61] Round 1 | FedAvg | loss=3.0083
  [Client 20] Round 1 | FedAvg | loss=3.1129
  [Client 81] Round 1 | FedAvg | loss=3.6976
  [Client 76] Round 1 | FedAvg | loss=3.6834
  [Client 71] Round 1 | FedAvg | loss=3.5372
  [Client 67] Round 1 | FedAvg | loss=3.2464
  [Client 43] Round 1 | FedAvg | loss=3.2592
  [Client 16] Round 1 | FedAvg | loss=3.2592
  [Client 51] Round 1 | FedAvg | loss=3.2487
  [Client 70] Round 1 | FedAvg | loss=3.0125
  [Client 12] Round 1 | FedAvg | loss=3.3576
  [Client 11] Round 1 | FedAvg | loss=3.1824
  [Client 23] Round 1 | FedAvg | loss=3.3484
  [Client 89] Round 1 | FedAvg | loss=2.8081
  [Client 49] Round 1 | FedAvg | loss=3.2191
  [Client 73] Round 1 | FedAvg | loss=3.8717
  [Client 69] Round 1 | FedAvg | loss=3.3055
  [Client 29] Round 1 | FedAvg | loss=2.9361
  [Client 30] Round 1 | FedAvg | loss=3.2184
  [Client 99] Round 1 | FedAvg | loss=3.5383
  [Client 18] Round 1 | FedAvg | loss=3.1437
  [Client 93] Round 1 | FedAvg | loss=3.0500
  [Client 66] Round 1 | FedAvg | loss=3.2859
  [Client 95] Round 1 | FedAvg | loss=2.8778
  [Client  0] Round 1 | FedAvg | loss=3.2546
  [Client 88] Round 1 | FedAvg | loss=3.1879
  [Client 38] Round 1 | FedAvg | loss=3.0352
  [Client 15] Round 1 | FedAvg | loss=3.1099
