
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0952
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3539
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9849
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0575
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8171
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8585
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8426
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8481
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1357
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2001
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9851
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0214
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1369
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8510
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1155
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2126
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9599
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8363
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4818
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1057
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0637
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2024
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9260
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5844
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9776
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3247
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9530
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5710
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2013
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4018
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2271
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0036
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7952
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0660
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8702
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7712
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9907
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6483
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5551
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4592
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6615
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9421
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9873
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6236
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4382
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9827
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9780
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0970
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7021
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2437
  [Edge 0] G1 | E1 | loss=2.9618
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1691
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6684
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1469
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3524
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2910
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9888
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2415
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7523
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9441
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0687
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9326
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0757
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1197
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3706
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7618
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5315
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3696
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1399
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0851
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1592
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1330
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1703
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1477
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1270
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6111
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9694
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5677
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2065
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8097
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9171
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4106
