
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0842
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2765
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0415
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9658
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8602
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8473
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7602
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7813
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1244
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2183
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1303
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9755
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0114
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7985
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9704
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2465
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9362
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8749
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4703
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0781
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0929
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2878
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6681
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5993
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9536
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2712
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8744
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6027
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2997
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1839
