
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 74/74
  [Client 58] Round 1 | FedAvg | loss=0.7893
  [Client  0] Round 1 | FedAvg | loss=1.0213
  [Client  4] Round 1 | FedAvg | loss=1.7612
  [Client  5] Round 1 | FedAvg | loss=1.4726
  [Client 40] Round 1 | FedAvg | loss=1.0298
  [Client 66] Round 1 | FedAvg | loss=1.8522
  [Client 36] Round 1 | FedAvg | loss=1.0634
  [Client 97] Round 1 | FedAvg | loss=1.2135
  [Client 32] Round 1 | FedAvg | loss=1.7852
  [Client 86] Round 1 | FedAvg | loss=1.0195
  [Client 74] Round 1 | FedAvg | loss=1.0135
  [Client 14] Round 1 | FedAvg | loss=1.4216
  [Client 63] Round 1 | FedAvg | loss=1.4604
  [Client 18] Round 1 | FedAvg | loss=0.6977
  [Client 80] Round 1 | FedAvg | loss=1.5751
  [Client 31] Round 1 | FedAvg | loss=1.1286
  [Client 88] Round 1 | FedAvg | loss=1.1974
  [Client 52] Round 1 | FedAvg | loss=1.3336
  [Client  3] Round 1 | FedAvg | loss=1.7800
  [Client 56] Round 1 | FedAvg | loss=1.0388
  [Client 39] Round 1 | FedAvg | loss=1.0275
  [Client 15] Round 1 | FedAvg | loss=1.3325
  [Client  8] Round 1 | FedAvg | loss=1.4081
  [Client 87] Round 1 | FedAvg | loss=0.7859
  [Client 60] Round 1 | FedAvg | loss=1.4722
  [Client 75] Round 1 | FedAvg | loss=1.3849
  [Client 17] Round 1 | FedAvg | loss=1.4799
  [Client 27] Round 1 | FedAvg | loss=1.2745
  [Client 62] Round 1 | FedAvg | loss=1.1109
  [Client 91] Round 1 | FedAvg | loss=1.4280
  [Client 54] Round 1 | FedAvg | loss=1.1836
  [Client 50] Round 1 | FedAvg | loss=1.5756
  [Client 81] Round 1 | FedAvg | loss=1.2074
  [Client  2] Round 1 | FedAvg | loss=1.0748
  [Client 71] Round 1 | FedAvg | loss=1.6553
  [Client 78] Round 1 | FedAvg | loss=0.8847
  [Client 77] Round 1 | FedAvg | loss=0.8644
  [Client 51] Round 1 | FedAvg | loss=0.7734
  [Client  9] Round 1 | FedAvg | loss=1.5323
  [Client 64] Round 1 | FedAvg | loss=1.1796
  [Client  7] Round 1 | FedAvg | loss=1.4845
  [Client 95] Round 1 | FedAvg | loss=1.2591
  [Client 34] Round 1 | FedAvg | loss=1.1351
  [Client 94] Round 1 | FedAvg | loss=1.9643
  [Client 76] Round 1 | FedAvg | loss=1.0990
  [Client 10] Round 1 | FedAvg | loss=1.4297
  [Client 11] Round 1 | FedAvg | loss=1.1425
  [Client 47] Round 1 | FedAvg | loss=0.9145
  [Client 67] Round 1 | FedAvg | loss=1.3555
  [Client 24] Round 1 | FedAvg | loss=2.2757
  [Client 19] Round 1 | FedAvg | loss=1.0474
  [Client 25] Round 1 | FedAvg | loss=0.0298
  [Client  6] Round 1 | FedAvg | loss=1.4913
  [Client 65] Round 1 | FedAvg | loss=1.3743
  [Client 42] Round 1 | FedAvg | loss=0.0312
  [Client 98] Round 1 | FedAvg | loss=1.0719
  [Client 23] Round 1 | FedAvg | loss=1.5096
  [Client 57] Round 1 | FedAvg | loss=1.5938
  [Client 44] Round 1 | FedAvg | loss=0.9237
  [Client 33] Round 1 | FedAvg | loss=1.1798
  [Client 69] Round 1 | FedAvg | loss=1.7126
  [Client 41] Round 1 | FedAvg | loss=1.4018
  [Client 70] Round 1 | FedAvg | loss=1.5313
  [Client 28] Round 1 | FedAvg | loss=1.7690
  [Client 89] Round 1 | FedAvg | loss=0.9785
  [Client 37] Round 1 | FedAvg | loss=nan
