
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 82/82
  [Client 73] Round 1 | FedAvg | loss=2.1531
  [Client 44] Round 1 | FedAvg | loss=3.7259
  [Client 68] Round 1 | FedAvg | loss=1.5577
  [Client 91] Round 1 | FedAvg | loss=5.3937
  [Client  1] Round 1 | FedAvg | loss=2.0573
  [Client 64] Round 1 | FedAvg | loss=2.8819
  [Client 99] Round 1 | FedAvg | loss=2.4711
  [Client 36] Round 1 | FedAvg | loss=2.3757
  [Client 54] Round 1 | FedAvg | loss=4.9066
  [Client 84] Round 1 | FedAvg | loss=1.9362
  [Client 39] Round 1 | FedAvg | loss=1.3926
  [Client 31] Round 1 | FedAvg | loss=2.1055
  [Client 24] Round 1 | FedAvg | loss=3.5151
  [Client 30] Round 1 | FedAvg | loss=4.9935
WARNING:tensorflow:5 out of the last 25 calls to <function FLClient._train_step at 0x151d1c942980> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
  [Client  3] Round 1 | FedAvg | loss=2.0374
  [Client 62] Round 1 | FedAvg | loss=5.4601
WARNING:tensorflow:5 out of the last 88 calls to <function FLClient._train_step at 0x151cff216840> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
  [Client 45] Round 1 | FedAvg | loss=2.1139
  [Client 17] Round 1 | FedAvg | loss=6.5626
  [Client  2] Round 1 | FedAvg | loss=1.8742
  [Client 52] Round 1 | FedAvg | loss=5.4992
  [Client 20] Round 1 | FedAvg | loss=1.5147
  [Client 90] Round 1 | FedAvg | loss=nan
  [Client 79] Round 1 | FedAvg | loss=3.5852
  [Client 92] Round 1 | FedAvg | loss=2.3753
  [Client 35] Round 1 | FedAvg | loss=1.7593
  [Client 82] Round 1 | FedAvg | loss=2.9183
  [Client 40] Round 1 | FedAvg | loss=1.8246
  [Client 12] Round 1 | FedAvg | loss=3.0053
  [Client 25] Round 1 | FedAvg | loss=3.1716
  [Client 22] Round 1 | FedAvg | loss=3.5995
  [Client 46] Round 1 | FedAvg | loss=2.5701
  [Client 76] Round 1 | FedAvg | loss=2.1536
  [Client 13] Round 1 | FedAvg | loss=3.9016
  [Client 65] Round 1 | FedAvg | loss=3.1409
  [Client 66] Round 1 | FedAvg | loss=2.8795
