
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 82/82
  [Client 73] Round 1 | FedAvg | loss=2.2625
  [Client 44] Round 1 | FedAvg | loss=3.5064
  [Client 68] Round 1 | FedAvg | loss=1.2750
  [Client 91] Round 1 | FedAvg | loss=24.2539
  [Client  1] Round 1 | FedAvg | loss=2.0976
  [Client 64] Round 1 | FedAvg | loss=3.8395
  [Client 99] Round 1 | FedAvg | loss=2.3617
  [Client 36] Round 1 | FedAvg | loss=2.1274
  [Client 54] Round 1 | FedAvg | loss=5.1898
  [Client 84] Round 1 | FedAvg | loss=1.7969
  [Client 39] Round 1 | FedAvg | loss=1.5167
  [Client 31] Round 1 | FedAvg | loss=1.8886
  [Client 24] Round 1 | FedAvg | loss=4.3126
  [Client 30] Round 1 | FedAvg | loss=6.4403
WARNING:tensorflow:5 out of the last 25 calls to <function FLClient._train_step at 0x149f1d8bfe20> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
  [Client  3] Round 1 | FedAvg | loss=1.8667
  [Client 62] Round 1 | FedAvg | loss=5.4817
WARNING:tensorflow:5 out of the last 88 calls to <function FLClient._train_step at 0x149f0460bc40> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
  [Client 45] Round 1 | FedAvg | loss=2.1040
  [Client 17] Round 1 | FedAvg | loss=6.5127
  [Client  2] Round 1 | FedAvg | loss=2.1821
  [Client 52] Round 1 | FedAvg | loss=3.6087
  [Client 20] Round 1 | FedAvg | loss=1.4822
