
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 59/59
  [Client 70] Round 1 | FedAvg | loss=2.8070
  [Client 71] Round 1 | FedAvg | loss=2.6426
  [Client  4] Round 1 | FedAvg | loss=2.6237
  [Client 46] Round 1 | FedAvg | loss=2.6634
  [Client  7] Round 1 | FedAvg | loss=2.6875
  [Client 13] Round 1 | FedAvg | loss=2.7116
  [Client 17] Round 1 | FedAvg | loss=2.7437
  [Client 19] Round 1 | FedAvg | loss=2.6298
  [Client 14] Round 1 | FedAvg | loss=2.6862
  [Client 74] Round 1 | FedAvg | loss=2.7928
  [Client 27] Round 1 | FedAvg | loss=2.8606
  [Client 77] Round 1 | FedAvg | loss=2.8283
  [Client 31] Round 1 | FedAvg | loss=2.5912
  [Client 44] Round 1 | FedAvg | loss=2.5144
  [Client 76] Round 1 | FedAvg | loss=2.8178
  [Client 88] Round 1 | FedAvg | loss=2.9225
  [Client 90] Round 1 | FedAvg | loss=2.6619
  [Client 96] Round 1 | FedAvg | loss=2.6120
  [Client 20] Round 1 | FedAvg | loss=2.6942
  [Client  2] Round 1 | FedAvg | loss=2.7531
  [Client 61] Round 1 | FedAvg | loss=2.5685
  [Client 80] Round 1 | FedAvg | loss=2.8851
  [Client 91] Round 1 | FedAvg | loss=2.8383
  [Client 42] Round 1 | FedAvg | loss=2.7131
  [Client 68] Round 1 | FedAvg | loss=2.5667
  [Client 48] Round 1 | FedAvg | loss=2.7153
  [Client 16] Round 1 | FedAvg | loss=2.8240
  [Client 93] Round 1 | FedAvg | loss=2.7609
  [Client 15] Round 1 | FedAvg | loss=2.3929
  [Client 23] Round 1 | FedAvg | loss=2.6349
  [Client 52] Round 1 | FedAvg | loss=2.7601
  [Client 79] Round 1 | FedAvg | loss=3.1058
  [Client 26] Round 1 | FedAvg | loss=2.8238
  [Client  5] Round 1 | FedAvg | loss=2.8339
  [Client 78] Round 1 | FedAvg | loss=2.8945
  [Client 30] Round 1 | FedAvg | loss=2.7984
  [Client 62] Round 1 | FedAvg | loss=2.5740
  [Client 54] Round 1 | FedAvg | loss=2.7478
  [Client 64] Round 1 | FedAvg | loss=2.9024
  [Client 92] Round 1 | FedAvg | loss=2.7238
  [Client  8] Round 1 | FedAvg | loss=2.7462
  [Client 40] Round 1 | FedAvg | loss=2.6514
  [Client  6] Round 1 | FedAvg | loss=2.8091
  [Client 34] Round 1 | FedAvg | loss=2.7379
  [Client 38] Round 1 | FedAvg | loss=2.9028
  [Client 65] Round 1 | FedAvg | loss=2.7001
  [Client 97] Round 1 | FedAvg | loss=2.8592
  [Client 24] Round 1 | FedAvg | loss=2.7230
  [Client 45] Round 1 | FedAvg | loss=2.3333
  [Client 47] Round 1 | FedAvg | loss=2.7299
  [Client  0] Round 1 | FedAvg | loss=2.6495
  [Client 73] Round 1 | FedAvg | loss=2.8165
  [Client 66] Round 1 | FedAvg | loss=2.7185
  [Client 82] Round 1 | FedAvg | loss=2.5801
  [Client 51] Round 1 | FedAvg | loss=2.6513
  [Client 83] Round 1 | FedAvg | loss=2.7972
  [Client 12] Round 1 | FedAvg | loss=2.8080
  [Client 69] Round 1 | FedAvg | loss=2.7317
  [Client 36] Round 1 | FedAvg | loss=2.7681
  [Edge 0] G1 | E1 | loss=2.7292
  [Edge 0] G1 | E2 | Selected 59/59
  [Client  0] Round 1 | FedAvg | loss=2.4777
  [Client  6] Round 1 | FedAvg | loss=2.6327
  [Client 71] Round 1 | FedAvg | loss=2.7241
  [Client 82] Round 1 | FedAvg | loss=2.7151
  [Client 31] Round 1 | FedAvg | loss=2.7559
  [Client 51] Round 1 | FedAvg | loss=2.7869
  [Client 24] Round 1 | FedAvg | loss=2.8012
  [Client 52] Round 1 | FedAvg | loss=2.7482
  [Client 70] Round 1 | FedAvg | loss=2.9166
  [Client 83] Round 1 | FedAvg | loss=2.6198
  [Client 76] Round 1 | FedAvg | loss=2.7657
  [Client 48] Round 1 | FedAvg | loss=2.7521
  [Client  2] Round 1 | FedAvg | loss=2.8969
  [Client 92] Round 1 | FedAvg | loss=2.8818
  [Client 88] Round 1 | FedAvg | loss=2.5770
  [Client 46] Round 1 | FedAvg | loss=2.4141
  [Client 66] Round 1 | FedAvg | loss=2.4737
  [Client 20] Round 1 | FedAvg | loss=2.9031
  [Client 77] Round 1 | FedAvg | loss=2.7637
  [Client 36] Round 1 | FedAvg | loss=2.7709
  [Client 79] Round 1 | FedAvg | loss=2.5995
  [Client 54] Round 1 | FedAvg | loss=2.7771
  [Client 34] Round 1 | FedAvg | loss=2.5724
  [Client 30] Round 1 | FedAvg | loss=2.8802
  [Client  7] Round 1 | FedAvg | loss=2.6551
  [Client 16] Round 1 | FedAvg | loss=2.7789
  [Client 13] Round 1 | FedAvg | loss=2.8091
  [Client 74] Round 1 | FedAvg | loss=2.7293
  [Client 61] Round 1 | FedAvg | loss=2.7622
  [Client 64] Round 1 | FedAvg | loss=2.7680
  [Client 12] Round 1 | FedAvg | loss=2.8689
  [Client 78] Round 1 | FedAvg | loss=2.7884
  [Client 26] Round 1 | FedAvg | loss=2.7723
  [Client 97] Round 1 | FedAvg | loss=2.9307
  [Client 45] Round 1 | FedAvg | loss=2.6245
  [Client  8] Round 1 | FedAvg | loss=2.7323
  [Client 69] Round 1 | FedAvg | loss=2.6197
  [Client 73] Round 1 | FedAvg | loss=2.7727
  [Client 23] Round 1 | FedAvg | loss=2.5663
  [Client 38] Round 1 | FedAvg | loss=2.6695
  [Client 44] Round 1 | FedAvg | loss=2.5901
  [Client 68] Round 1 | FedAvg | loss=2.7866
  [Client 65] Round 1 | FedAvg | loss=2.8430
  [Client 91] Round 1 | FedAvg | loss=2.6699
  [Client 19] Round 1 | FedAvg | loss=2.5615
  [Client 93] Round 1 | FedAvg | loss=2.5692
  [Client 96] Round 1 | FedAvg | loss=2.8713
  [Client 17] Round 1 | FedAvg | loss=2.8707
  [Client 27] Round 1 | FedAvg | loss=2.9103
  [Client 15] Round 1 | FedAvg | loss=2.7136
  [Client 80] Round 1 | FedAvg | loss=2.7866
  [Client 47] Round 1 | FedAvg | loss=2.7145
  [Client  5] Round 1 | FedAvg | loss=2.8719
  [Client 40] Round 1 | FedAvg | loss=2.9114
  [Client 14] Round 1 | FedAvg | loss=2.7807
  [Client 90] Round 1 | FedAvg | loss=2.8127
  [Client  4] Round 1 | FedAvg | loss=2.7363
  [Client 62] Round 1 | FedAvg | loss=2.7263
  [Client 42] Round 1 | FedAvg | loss=2.6186
  [Edge 0] G1 | E2 | loss=2.7356
  [Edge 0] G1 | E3 | Selected 59/59
  [Client 78] Round 1 | FedAvg | loss=2.8101
  [Client 47] Round 1 | FedAvg | loss=2.6195
  [Client 74] Round 1 | FedAvg | loss=2.8271
  [Client 26] Round 1 | FedAvg | loss=2.8257
  [Client 23] Round 1 | FedAvg | loss=2.6334
  [Client 42] Round 1 | FedAvg | loss=2.8621
  [Client 92] Round 1 | FedAvg | loss=2.7777
  [Client  0] Round 1 | FedAvg | loss=2.4091
  [Client 93] Round 1 | FedAvg | loss=2.5587
  [Client 16] Round 1 | FedAvg | loss=2.6318
  [Client 73] Round 1 | FedAvg | loss=2.7200
  [Client 54] Round 1 | FedAvg | loss=2.7772
  [Client 79] Round 1 | FedAvg | loss=2.7327
  [Client 69] Round 1 | FedAvg | loss=2.6668
  [Client 77] Round 1 | FedAvg | loss=2.6612
  [Client 45] Round 1 | FedAvg | loss=2.8616
  [Client 61] Round 1 | FedAvg | loss=2.7450
  [Client 19] Round 1 | FedAvg | loss=2.5875
  [Client  5] Round 1 | FedAvg | loss=2.6481
  [Client 64] Round 1 | FedAvg | loss=2.6079
  [Client 76] Round 1 | FedAvg | loss=2.7379
  [Client 51] Round 1 | FedAvg | loss=2.6595
  [Client 12] Round 1 | FedAvg | loss=2.8569
  [Client 68] Round 1 | FedAvg | loss=2.8528
  [Client 44] Round 1 | FedAvg | loss=2.5524
  [Client 82] Round 1 | FedAvg | loss=2.6300
  [Client 66] Round 1 | FedAvg | loss=2.4813
  [Client 36] Round 1 | FedAvg | loss=2.6260
  [Client 71] Round 1 | FedAvg | loss=2.8388
  [Client  8] Round 1 | FedAvg | loss=2.7111
  [Client 62] Round 1 | FedAvg | loss=2.9006
