
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 59/59
  [Client 70] Round 1 | FedAvg | loss=2.7377
  [Client 71] Round 1 | FedAvg | loss=2.6842
  [Client  4] Round 1 | FedAvg | loss=2.6169
  [Client 46] Round 1 | FedAvg | loss=2.7354
  [Client  7] Round 1 | FedAvg | loss=2.5138
  [Client 13] Round 1 | FedAvg | loss=2.8480
  [Client 17] Round 1 | FedAvg | loss=3.0535
  [Client 19] Round 1 | FedAvg | loss=2.6120
  [Client 14] Round 1 | FedAvg | loss=2.6987
  [Client 74] Round 1 | FedAvg | loss=2.7843
  [Client 27] Round 1 | FedAvg | loss=2.8810
  [Client 77] Round 1 | FedAvg | loss=2.7380
  [Client 31] Round 1 | FedAvg | loss=2.5336
  [Client 44] Round 1 | FedAvg | loss=2.5690
  [Client 76] Round 1 | FedAvg | loss=3.0012
  [Client 88] Round 1 | FedAvg | loss=2.9730
  [Client 90] Round 1 | FedAvg | loss=2.5300
  [Client 96] Round 1 | FedAvg | loss=3.0266
  [Client 20] Round 1 | FedAvg | loss=2.7481
  [Client  2] Round 1 | FedAvg | loss=2.7140
  [Client 61] Round 1 | FedAvg | loss=2.5842
  [Client 80] Round 1 | FedAvg | loss=2.8343
  [Client 91] Round 1 | FedAvg | loss=2.9998
  [Client 42] Round 1 | FedAvg | loss=2.8199
  [Client 68] Round 1 | FedAvg | loss=2.5758
  [Client 48] Round 1 | FedAvg | loss=2.6562
  [Client 16] Round 1 | FedAvg | loss=2.7926
  [Client 93] Round 1 | FedAvg | loss=2.6654
  [Client 15] Round 1 | FedAvg | loss=2.5122
  [Client 23] Round 1 | FedAvg | loss=2.8187
  [Client 52] Round 1 | FedAvg | loss=2.7171
  [Client 79] Round 1 | FedAvg | loss=2.8952
  [Client 26] Round 1 | FedAvg | loss=2.7451
  [Client  5] Round 1 | FedAvg | loss=3.0121
  [Client 78] Round 1 | FedAvg | loss=3.0814
  [Client 30] Round 1 | FedAvg | loss=2.8755
  [Client 62] Round 1 | FedAvg | loss=2.5382
  [Client 54] Round 1 | FedAvg | loss=2.9203
  [Client 64] Round 1 | FedAvg | loss=2.9913
  [Client 92] Round 1 | FedAvg | loss=2.8419
  [Client  8] Round 1 | FedAvg | loss=2.5891
  [Client 40] Round 1 | FedAvg | loss=2.7426
  [Client  6] Round 1 | FedAvg | loss=2.9384
  [Client 34] Round 1 | FedAvg | loss=2.7628
  [Client 38] Round 1 | FedAvg | loss=2.8133
  [Client 65] Round 1 | FedAvg | loss=2.7919
  [Client 97] Round 1 | FedAvg | loss=2.7942
