
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 59/59
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6893
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5754
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5210
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3031
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5442
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7640
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6394
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5177
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4962
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5141
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6539
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5016
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6023
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2947
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6436
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6487
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4309
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4600
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5409
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6400
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5202
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4837
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5875
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4455
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4889
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6468
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4574
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3849
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4528
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4282
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5861
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5814
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5426
  [Client  5] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7943
  [Client 78] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6077
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8023
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3602
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4672
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4150
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4420
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4713
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5560
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6715
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5811
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5227
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5057
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7665
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5304
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4176
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4092
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0718
