
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 82/82
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4707
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5312
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2014
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.1300
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8012
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.0812
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.2901
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.8843
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7745
  [Client 84] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4952
  [Client 39] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.0638
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.9018
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.3085
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=5.6419
WARNING:tensorflow:5 out of the last 25 calls to <function FLClient._hierpfedme_step at 0x147d2f27ade0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6204
  [Client 62] Round 1 | Hier-pFedMe(λ2=35.0) | loss=6.5502
WARNING:tensorflow:5 out of the last 88 calls to <function FLClient._hierpfedme_step at 0x147d245ab600> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.6835
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8233
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.3645
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7788
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=1.4908
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=6.1115
