
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 62/62
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0484
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0405
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0378
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1690
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0140
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7776
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0771
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9961
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7799
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8812
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0741
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0029
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9601
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1767
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9130
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7807
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9517
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0673
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9556
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8874
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8526
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.2190
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0062
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9142
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9768
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0721
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0558
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8722
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0224
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9128
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1007
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9791
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0673
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0622
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9119
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7610
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9623
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8931
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1700
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9822
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9296
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9917
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0051
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9098
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0949
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.2183
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1338
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9873
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0797
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9631
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.2569
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0439
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9793
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9856
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1312
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7440
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0364
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0453
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9629
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8802
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7867
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9774
  [Edge 0] G1 | E1 | loss=3.9878
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 62/62
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8764
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0670
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0353
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.2310
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9887
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7694
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9779
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1329
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8671
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0948
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8498
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0328
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1687
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.2014
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0712
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9745
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0505
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8836
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9633
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9197
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0089
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9779
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0282
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7824
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1098
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1476
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0182
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9701
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9966
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0851
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9676
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9689
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9849
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0858
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0621
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0064
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0799
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0144
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9303
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9860
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1605
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0258
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7883
