
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0438
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2687
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0368
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0966
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8577
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7284
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8221
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8089
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0140
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3007
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9832
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9632
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0315
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6886
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0630
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3117
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0177
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8381
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4611
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9954
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1106
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2039
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7559
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5592
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9348
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2652
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8780
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4710
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1698
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2805
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1432
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1197
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6612
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9320
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8813
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6272
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9632
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5441
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4606
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4789
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5475
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9807
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1137
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5901
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4971
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8615
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9387
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1259
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7960
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1106
  [Edge 0] G1 | E1 | loss=2.9267
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1760
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6470
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1983
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2713
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2284
