
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0508
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2848
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0100
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9159
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7870
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8557
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8494
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7636
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0724
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1015
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9760
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9197
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0816
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7392
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1163
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2541
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0790
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9396
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7199
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1377
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0402
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1727
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7399
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6213
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9931
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3882
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9942
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5670
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2653
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2367
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0718
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0568
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8064
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0453
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9616
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6533
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0384
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7751
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5969
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4575
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6526
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9387
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0153
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5749
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.4770
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8728
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9239
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2428
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8027
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1859
  [Edge 0] G1 | E1 | loss=2.9572
  [Edge 0] G1 | E2 | Hier-pFedMe | Selected 50/50
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2606
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5249
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1768
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4126
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3190
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9121
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1127
  [Client 54] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6392
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9299
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0610
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8413
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9566
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9707
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2118
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5352
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5111
  [Client 67] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1673
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1768
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0171
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2160
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0886
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1660
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2339
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2337
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7556
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0703
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6781
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0804
  [Client 29] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9095
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9103
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3636
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0046
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8726
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1812
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6775
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2014
  [Client 88] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1155
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.5292
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0491
  [Client 65] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2027
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1044
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2032
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9119
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7387
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9553
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1217
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8657
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6269
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4049
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3334
  [Edge 0] G1 | E2 | loss=3.0407
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 50/50
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1009
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9403
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8680
