
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 50/50
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0913
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2344
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9704
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0398
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7554
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.7070
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8646
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8633
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1434
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2998
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8864
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8504
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1228
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.6894
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.0941
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2915
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9769
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.8129
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6436
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=2.9855
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.1598
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.2119
