
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Selected 59/59
  [Client 70] Round 1 | FedDyn(α=0.1) | loss=7.1491
  [Client 71] Round 1 | FedDyn(α=0.1) | loss=6.3261
  [Client  4] Round 1 | FedDyn(α=0.1) | loss=6.8028
  [Client 46] Round 1 | FedDyn(α=0.1) | loss=6.4685
  [Client  7] Round 1 | FedDyn(α=0.1) | loss=6.3290
  [Client 13] Round 1 | FedDyn(α=0.1) | loss=6.5325
  [Client 17] Round 1 | FedDyn(α=0.1) | loss=6.1316
  [Client 19] Round 1 | FedDyn(α=0.1) | loss=6.9450
  [Client 14] Round 1 | FedDyn(α=0.1) | loss=6.0388
  [Client 74] Round 1 | FedDyn(α=0.1) | loss=7.0986
  [Client 27] Round 1 | FedDyn(α=0.1) | loss=6.8489
  [Client 77] Round 1 | FedDyn(α=0.1) | loss=6.2682
  [Client 31] Round 1 | FedDyn(α=0.1) | loss=6.4400
  [Client 44] Round 1 | FedDyn(α=0.1) | loss=5.5366
  [Client 76] Round 1 | FedDyn(α=0.1) | loss=6.4761
  [Client 88] Round 1 | FedDyn(α=0.1) | loss=7.8443
  [Client 90] Round 1 | FedDyn(α=0.1) | loss=6.6872
  [Client 96] Round 1 | FedDyn(α=0.1) | loss=6.8755
  [Client 20] Round 1 | FedDyn(α=0.1) | loss=6.0307
  [Client  2] Round 1 | FedDyn(α=0.1) | loss=6.1814
  [Client 61] Round 1 | FedDyn(α=0.1) | loss=6.4112
  [Client 80] Round 1 | FedDyn(α=0.1) | loss=6.0381
  [Client 91] Round 1 | FedDyn(α=0.1) | loss=6.8129
  [Client 42] Round 1 | FedDyn(α=0.1) | loss=6.3147
  [Client 68] Round 1 | FedDyn(α=0.1) | loss=6.2156
  [Client 48] Round 1 | FedDyn(α=0.1) | loss=6.7870
  [Client 16] Round 1 | FedDyn(α=0.1) | loss=5.9643
  [Client 93] Round 1 | FedDyn(α=0.1) | loss=6.5765
  [Client 15] Round 1 | FedDyn(α=0.1) | loss=5.9603
  [Client 23] Round 1 | FedDyn(α=0.1) | loss=6.5072
  [Client 52] Round 1 | FedDyn(α=0.1) | loss=6.9924
  [Client 79] Round 1 | FedDyn(α=0.1) | loss=5.9334
  [Client 26] Round 1 | FedDyn(α=0.1) | loss=6.3159
  [Client  5] Round 1 | FedDyn(α=0.1) | loss=8.2393
  [Client 78] Round 1 | FedDyn(α=0.1) | loss=6.6376
  [Client 30] Round 1 | FedDyn(α=0.1) | loss=7.3778
  [Client 62] Round 1 | FedDyn(α=0.1) | loss=6.1234
  [Client 54] Round 1 | FedDyn(α=0.1) | loss=6.2321
  [Client 64] Round 1 | FedDyn(α=0.1) | loss=6.2170
  [Client 92] Round 1 | FedDyn(α=0.1) | loss=6.4738
  [Client  8] Round 1 | FedDyn(α=0.1) | loss=6.2003
  [Client 40] Round 1 | FedDyn(α=0.1) | loss=6.2499
  [Client  6] Round 1 | FedDyn(α=0.1) | loss=6.1873
  [Client 34] Round 1 | FedDyn(α=0.1) | loss=6.4869
  [Client 38] Round 1 | FedDyn(α=0.1) | loss=6.7630
  [Client 65] Round 1 | FedDyn(α=0.1) | loss=7.1563
  [Client 97] Round 1 | FedDyn(α=0.1) | loss=6.1356
  [Client 24] Round 1 | FedDyn(α=0.1) | loss=7.2474
  [Client 45] Round 1 | FedDyn(α=0.1) | loss=7.6268
  [Client 47] Round 1 | FedDyn(α=0.1) | loss=6.2949
  [Client  0] Round 1 | FedDyn(α=0.1) | loss=7.1987
  [Client 73] Round 1 | FedDyn(α=0.1) | loss=6.7033
  [Client 66] Round 1 | FedDyn(α=0.1) | loss=6.0307
  [Client 82] Round 1 | FedDyn(α=0.1) | loss=6.2678
  [Client 51] Round 1 | FedDyn(α=0.1) | loss=6.2704
